District,Total No.of Schools,Total Boys Enrolment,Total Girls Enrolment,Total Enrolment,No.of Schools,Tot Enrolment of Students In No.,Male Primary School Teachers No.,Female Primary School Teachers No.,Total Primary School Teachers No.,Student Teacher Ratio,Total Enrolment of Students In No.,Male High School Teachers No.,Female High School Teachers No.,Total High School Teachers No.,Boys Child Enrolment 6-14 Yrs,Girls Child Enrolment 6-14 Yrs,Total Child Enrolment 6-14 Yrs,Boys Child Out of School 6-14 Yrs,Girls Child Out of School 6-14 Yrs,Total Child Out of School 6-14 Yrs,Drop out ratio,No.of Primary Schools,Boys Toilet,Girls Toilet,Electricity,Play Ground,Ramp,Compound,Drinking Water,Library,Computer,No.of High Schools,No of Colleges,Male Lecturers No.,Female Lecturers No.,"Boys,Government,No.Of STudents 1st and 2nd Year","Girls,Government,No.Of STudents 1st and 2nd Year","Boys,Aided,Private,No.Of STudents 1st and 2nd Year","Girls,Aided,Private,No.Of STudents 1st and 2nd Year","Boys,Unaided,Private,No.Of STudents 1st and 2nd Year","Girls,Unaided,Private,No.Of STudents 1st and 2nd Year","Boys,Total STudents,No.Of STudents 1st and 2nd Year","Girls,Total STudents,No.Of STudents 1st and 2nd Year",No.of Colleges Government Colleges,"Boys,STudents from 1st year to final year,Govt. Colleges","Girls,STudents from 1st year to final year,Govt. Colleges","Total,STudents from 1st year to final year,Govt. Colleges",No.of Colleges Private Aided Unaided Colleges,"Boys,Students Aided Unaided,Pvt. Aided Unaided Colleges","Girls,Students Aided Unaided,Pvt. Aided Unaided Colleges","Total,Students Aided Unaided,Pvt. Aided Unaided Colleges",% of students to state total,No.of Colleges Ayush colleges Government,"Boys,STudents,STudents from 1st year to final year,Ayush Govt. Colleges","Girls,STudents,STudents from 1st year to final year,Ayush Govt. Colleges","Total,STudents,STudents from 1st year to final year,Ayush Govt. Colleges",No.of Colleges Ayush Colleges Private Aided Unaided,"Boys,STudents,STudents from Students Aided Unaided,Ayush Pvt. Aided Unaided Colleges","Girls,STudents,STudents from Students Aided Unaided,Ayush Pvt. Aided Unaided Colleges","Total,STudents,STudents from Students Aided Unaided,Ayush Pvt. Aided Unaided Colleges","No.of Colleges,Government,Allopathy Medical Colleges","Boys,Government,Allopathy Medical Colleges","Girls,Government,Allopathy Medical Colleges","Total,Government,Allopathy Medical Colleges","No.of Colleges,Private,Allopathy Medical Colleges","Boys,Private,Allopathy Medical Colleges","Girls,Private,Allopathy Medical Colleges","Total,Private,Allopathy Medical Colleges","of Colleges,Government,Dental Colleges","Boys,Government,Dental Colleges","Girls,Government,Dental Colleges","Total,Government,Dental Colleges","Colleges No.,Private,Dental Colleges","Boys,Private,Dental Colleges","Girls,Private,Dental Colleges","Total,Private,Dental Colleges",No.of Colleges Private Colleges Aided Unaided,"Boys,STudents from 1st year to final year,Pvt. Aided Unaided Colleges","Girls,STudents from 1st year to final year,Pvt. Aided Unaided Colleges","Total,STudents from 1st year to final year,Pvt. Aided Unaided Colleges"
Bengaluru(U),1258,510927,467449,978376,4175,1487781,26593,26490,53083,28,288750,26673,20403,47076,774239,713542,1487781,512,401,913,0.06,5433,4956,4956,4490,3207,1462,4597,4956,4348,2782,2801,705,2372,3980,8123,9921,5327,7099,45621,44576,59071,61596,23,11209,17132,28341,43,8850,14982,23832,8.62,3,329,764,1093,11,714,1777,2491,3,774,521,1295,11,2046,2642,4688,1,69,119,188,15,834,2233,3067,48,4709,1225,5934
Bengaluru(R),651,5436,5662,11098,527,59408,2105,1876,3981,15,97050,1853,1594,3447,66395,61116,127511,21,21,42,0.03,1178,1859,1979,1178,468,368,1120,1178,1047,240,292,68,282,230,1385,1806,702,669,2171,2596,4258,5071,7,2418,2937,5355,2,323,534,857,1.03,0,0,0,0,2,95,154,249,0,0,0,0,2,393,452,845,0,0,0,0,0,0,0,0,3,168,40,208
Ramanagara,820,35660,33478,69138,692,113792,1535,1759,3294,35,27476,821,499,1320,58603,55216,113819,19,9,28,0.02,1512,1512,1512,1479,646,479,1360,1512,1317,390,328,82,261,99,3412,4539,2028,2135,2244,2538,7684,9212,12,3016,4724,7740,2,723,871,1594,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,166,42,208
Chitradurga,861,65163,60707,125870,1165,202749,3259,2903,6162,33,47904,1736,587,2323,104438,98385,202823,143,100,243,0.12,2026,1636,1642,1642,1033,1642,1820,2026,1786,352,485,126,720,167,3464,4114,1963,2190,2205,2366,7632,8670,14,5536,6890,12426,10,1285,1415,2700,2.5,0,0,0,0,3,167,150,317,0,0,0,0,1,134,148,282,0,0,0,0,1,35,151,186,5,470,92,562
Davanagere,635,69593,63948,133541,1086,211942,5543,4412,9955,21,49263,3260,1253,4513,109848,102248,212096,76,48,124,0.06,1721,1698,1698,1530,813,519,1602,1699,1427,433,477,150,828,1003,7055,6807,5417,6951,6106,5250,18578,19008,10,4410,6370,10780,13,2119,3236,5355,2.67,0,0,0,0,2,37,104,141,0,0,0,0,2,184,180,364,0,0,0,0,2,164,404,568,4,664,180,844
Kolara,1267,59242,54799,114041,964,183410,2306,2858,5164,36,43009,930,603,1533,94830,88579,183409,58,49,107,0.06,2231,2226,2226,2128,655,1042,1494,2229,2229,446,368,124,804,323,4055,5310,713,1201,8553,8118,13321,14629,10,3024,4507,7531,34,3043,3082,6125,2.26,0,0,0,0,0,0,0,0,0,0,0,0,1,95,303,398,0,0,0,0,1,95,55,150,7,533,150,683
Chikkaballapura,920,18154,20394,38548,515,63213,2343,1807,4150,15,33172,798,439,1237,73257,69222,142479,51,37,88,0.06,1435,1435,1435,1394,620,907,1130,1435,399,40,300,108,701,316,2627,3220,1627,1508,8229,8840,12483,13568,9,3338,5289,8627,2,317,566,883,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,467,94,561
Shivamogga,969,11992,11575,23567,1348,185721,3060,3334,6394,29,76913,1163,1073,2236,109738,102286,212024,57,35,92,0.04,2317,2317,2317,2317,2084,1040,1852,2317,2317,806,487,133,829,420,7706,11024,2735,3872,4845,5575,15286,20471,16,5565,10017,15582,9,1964,3149,5113,3.42,1,55,65,120,2,190,167,357,1,372,157,529,1,292,277,569,0,0,0,0,2,172,364,536,6,747,140,887
Tumakuru,2076,92275,85556,177831,1748,293295,6450,6738,13188,22,74894,3676,2647,6323,156574,145724,302298,52,37,89,0.03,3824,3824,3824,3742,1702,1372,3455,3824,3576,796,770,249,939,341,7442,12256,8133,6527,7605,7719,23180,26502,23,9107,13244,22351,46,5039,7665,12704,5.79,0,0,0,0,2,336,334,670,0,0,0,0,2,274,328,602,0,0,0,0,1,8,26,34,9,3230,1030,4260
Chikkamagaluru,732,36613,34804,71417,899,116483,3701,2467,6168,19,28345,1642,1095,2737,59944,56539,116483,15,4,19,0.02,1631,1629,1629,1587,973,723,1550,1631,1494,665,354,90,534,271,4371,5619,1325,1761,1945,2100,7641,9480,14,4575,5733,10308,3,416,1061,1477,1.95,0,0,0,0,1,75,240,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,372,120,492
