District,Govt. Pre-Matric Boys Hostels No.,Govt. Pre-Matric Boys Hostels Students,Govt. Pre-Matric Girls Hostels No.,Govt. Pre-Matric Girls Hostels Students,Govt. Pre-Matric Total Hostels No.,Govt. Pre-Matric Total Hostels Students,Govt. Post-Matric Boys Hostels No.,Govt. Post-Matric Boys Hostels Students,Govt. Post-Matric Girls Hostels No.,Govt. Post-Matric Girls Hostels Students,Govt. Post-Matric Total Hostels No.,Govt. Post-Matric Total Hostels Students,Aided Pre-Matric Boys Hostels No.,Aided Pre-Matric Boys Hostels Students,Aided Pre-Matric Girls Hostels No.,Aided Pre-Matric Girls Hostels Students,Aided Pre-Matric Total Hostels No.,Aided Pre-Matric Total Hostels Students,Aided Post-Matric Boys Hostels No.,Aided Post-Matric Boys Hostels Students,Aided Post-Matric Girls Hostels No.,Aided Post-Matric Girls Hostels Students,Aided Post-Matric Total Hostels No.,Aided Post-Matric Total Hostels Students,Aided Boys Hostels No.,Aided Boys Hostels Students,Aided Girls Hostels No.,Aided Girls Hostels Students,Aided Total Hostels No.,Aided Total Hostels Students,SC Ashrama Schools No.,SC Ashrama School Students,ST Ashrama Schools No.,ST Ashrama School Students,BC Ashrama Schools No.,BC Ashrama School Students,Boys Primary (1-8) SC Students,Girls Primary (1-8) SC Students,Total Primary (1-8) SC Students,Boys High School (9-10) SC Students,Girls High School (9-10) SC Students,Total High School (9-10) SC Students,Boys Primary (1-8) ST Students,Girls Primary (1-8) ST Students,Total Primary (1-8) ST Students,Boys High School (9-10) ST Students,Girls High School (9-10) ST Students,Total High School (9-10) ST Students,Boys Primary (1-8) BC Students,Girls Primary (1-8) BC Students,Total Primary (1-8) BC Students,Boys High School (9-10) BC Students,Girls High School (9-10) BC Students,Total High School (9-10) BC Students,"Boys,1-10th Standard,Minorities","Girls,1-10th Standard,Minorities","Total,1-10th Standard,Minorities"
Bengaluru(U),20,848,8,309,28,1157.0,16,2430,11,1239,27,3669,8,209,1,169,9,378,0,0,0,0,0,0,0,0,0,0,0,0,2,141,1,90,0,0,17338,19529,36867,5627,6642,12269,2258,2410,4668,145,167,312,14061,14517,28578,8609,7761,16370,30712,25396,56108
Bengaluru(R),18,1378,5,349,23,1727.0,5,543,4,367,9,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5588,6285,11873,2727,3092,5819,1748,1861,3609,446,479,925,10068,10880,20948,3064,3404,6468,1921,2350,4271
Ramanagara,28,1143,9,313,37,1456.0,7,318,6,215,13,533,2,55,0,0,2,55,0,0,0,0,0,0,2,125,0,0,2,125,0,0,6,241,2,100,5322,6408,11730,1949,2464,4413,866,924,1790,221,172,393,13771,15667,29438,4187,4641,8828,5775,6727,12502
Chitradurga,37,2759,15,1356,52,4115.0,21,2998,14,2406,35,5404,6,462,2,161,8,623,0,0,0,0,0,0,4,263,1,56,5,319,0,0,3,375,2,50,17288,17360,34648,4068,4000,8068,14856,14586,29442,3183,3136,6319,20313,21514,41827,6129,6171,12300,13039,2392,15431
Davanagere,29,1848,9,818,38,2666.0,16,2065,10,1558,26,3623,15,780,4,225,19,1005,7,835,1,50,8,885,3,200,0,0,3,200,0,0,2,175,1,50,14720,14593,29313,3279,3577,6856,8265,8174,16439,1917,1992,3909,16835,18127,34962,5075,5631,10706,25341,24510,49851
Kolara,39,2355,14,926,53,3281.0,17,1298,7,404,24,1702,2,200,0,0,2,200,0,0,0,0,0,0,2,175,0,0,2,175,1,83,0,0,0,0,14924,15607,30531,3582,4368,7950,2512,2725,5237,482,606,1088,10762,11766,22528,3361,4147,7508,10960,12548,23508
Chikkaballapura,39,3535,10,889,49,4424.0,14,2569,9,1133,23,3702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,3,325,0,0,9574,10219,19793,2388,2848,5236,4988,5530,10518,1248,1558,2806,10047,10869,20916,2847,3405,6252,0,20,20
Shivamogga,35,2389,14,1040,49,3429.0,13,1848,13,1695,26,3543,1,50,2,290,3,340,0,0,0,0,0,0,2,100,1,50,3,150,2,250,2,275,0,0,11235,11134,22369,2251,3360,5611,2659,2549,5208,584,662,1246,26193,26177,52370,7470,7856,15326,12514,13900,26414
Tumakuru,49,2942,13,799,62,3741.0,21,3085,15,1887,36,4972,12,818,1,25,13,843,2,250,0,0,2,250,6,315,0,0,6,315,2,203,3,255,6,200,16439,15922,32361,4316,4228,8544,8859,9563,18422,2038,1935,3973,37334,38354,75688,10898,11113,22011,11678,12655,24333
Chikkamagaluru,26,1458,12,856,38,2314.0,13,1065,7,1033,20,2098,0,0,0,0,0,0,0,0,0,0,0,0,2,280,2,120,4,400,2,161,12,1089,1,125,7232,7846,15078,1674,1864,3538,1559,1632,3191,214,235,449,13110,13286,26396,4872,3839,8711,1711,2003,3714
