District,NRLM DDU-GKY,NRLM CIF to Groups,ESTP,ESTP Persons Skilled (Self Emp.),ESTP Groups Skilled (Self Emp.),KSDC CMKKY,KSDC Women Groups,Individual Toilets Constructed 2019-20,Individual Toilets Constructed Cumulative as of 2020,Community Toilets Constructed 2019-20,Community Toilets Constructed Cumulative as of 2020,SLWM Constructed 2019-20,SLWM Constructed Cumulative as of 2020,No. of Registered and Distributed Job Cards,No. of Householdsdemanded Employment,Number of Households Provided employement,Male Mandays Generated Lakhs,Female Mandays Generated Lakhs,Total Mandays Generated Lakhs,Number of Households Completed 100 days of employment,Total Number of Habitations,Habitations with Drinking Water Facilities 0  to  25%,Habitations with Drinking Water Facilities 25  to  50%,Habitations with Drinking Water Facilities 50  to  75%,Habitations with Drinking Water Facilities 75  to  100%,Habitations with Drinking Water Facilities 100%,% of habitations having more than 50 Lpcd,Borewells Drilled 2019-20,Total Borewells as of 2020,PWS Schemes 2019-20,Total PWS Schemes,Mini WS Schemes Commissioned 2019-20,Total Mini WS Schemes
Bengaluru(U),10,8,1708,6,8,406,344,23,28422,2,13,2,10,43774,2264,1996,0.4,0.4,0.8,19,990,69,448,208,63,202,47.78,205,1742,49,640,451,1833
Bengaluru(R),1556,1538,40,6,1,60,0,1003,157197,40,48,1,11,83107,27095,24045,62.21,55.54,117.75,1685,1286,369,533,189,160,35,29.86,532,6423,0,556,0,1382
Ramanagara,0,1331,0,0,0,254,0,12554,181522,64,64,61,61,169105,93564,88185,32.18,30.29,62.47,17267,2108,851,1026,183,48,0,10.96,185,3234,17,712,0,1610
Chitradurga,0,971,630,47,4,930,0,9761,183519,0,3,0,0,284542,124755,116406,30.25,32.27,62.52,9866,1580,107,272,611,414,176,76.01,915,2307,124,108,132,84
Davanagere,0,1227,698,91,10,710,1304,5091,130908,1,1,11,11,185575,172878,43364,15.58,13.17,28.75,145,907,14,132,404,204,153,83.9,424,6089,70,1151,110,2028
Kolara,26,0,3292,26,3,0,0,1490,214782,21,33,2,3,212753,86889,78673,224.6,221.4,446.0,11319,1941,428,571,263,471,208,48.53,766,2963,8,1852,0,1602
Chikkaballapura,2233,345,184,52,14,270,120,5955,8031,48,68,1,1,185961,93706,72547,18.8,17.97,36.77,6206,1919,1453,281,140,40,5,9.64,1069,7691,710,1513,0,5024
Shivamogga,0,1166,955,52,45,1952,75,5119,10232,31,58,24,50,214206,98401,88328,15.87,16.42,32.29,3956,4865,151,1673,1427,951,663,62.51,684,6689,315,1377,144,1225
Tumakuru,0,5235,456,55,0,1020,200,6547,425642,20,41,37,75,388472,116509,104887,27.75,26.38,54.13,9377,5339,270,1287,1429,1813,540,70.84,1441,3266,8,79,764,5406
Chikkamagaluru,0,212,0,19,0,219,679,5456,74912,18,23,42,42,147090,54312,52921,13.97,11.78,25.75,2519,3529,517,763,787,604,858,63.73,522,5111,266,1849,134,3529
Dakshina Kannada,425,448,4300,945,42,708,0,326,10757,26,168,1,36,124686,27068,26122,7.13,5.74,12.87,2152,3552,11,162,1127,632,1620,95.13,455,1478,5,1934,0,368
Udupi,629,123,66,22,2,629,0,551,107486,19,19,11,20,69892,12563,11123,1.55,2.71,4.26,388,3462,0,1066,1901,472,23,69.21,63,4616,22,483,36,530
Hassan,0,0,0,35,2,522,340,12790,12790,10,10,39,39,248474,97553,88103,23.89,21.95,45.84,5692,3848,575,844,1577,252,600,63.12,1022,20921,63,1166,0,2910
Kodagu,77,676,519,0,0,0,1218,628,119094,4,30,5,20,66472,12009,10768,2.7,2.38,5.08,841,597,166,365,65,0,1,11.06,188,4812,10,428,0,563
Mandya,0,1515,0,0,0,166,330,2683,354377,7,88,0,0,288721,63143,53288,7.36,7.33,14.69,72,1998,359,539,516,417,167,55.06,198,10670,16,1482,0,3448
Mysuru,2220,3178,0,44,44,1557,0,5793,253238,0,12,2,12,266287,59460,54007,11.64,10.87,22.51,2345,1994,17,124,166,240,1447,92.93,354,11145,33,2631,21,1997
Chamarajanagara,89,1288,0,50,43,240,630,5672,188311,57,57,3,3,168630,59458,55294,13.47,13.53,27.0,1384,895,93,418,380,4,0,42.91,249,8986,12,1275,261,3321
Belagavi,140,264,0,0,0,710,600,6333,434776,0,114,12,17,612950,213513,191635,39.89,42.96,82.85,15154,1766,99,660,676,270,61,57.02,252,14263,57,1852,154,4801
Vijayapura,734,0,802,75,3,1620,940,27073,286560,45,98,50,58,244732,103958,89690,28.85,20.76,49.61,13287,1035,257,152,626,0,0,60.48,295,4313,48,1647,221,3038
Bagalkot,140,309,754,61,6,447,0,6478,238127,0,230,2,8,196002,89242,85843,20.41,18.39,38.8,9626,1130,149,306,248,286,141,59.73,325,4147,15,1264,0,1097
Dharwad,146,163,116,150,6,2556,962,16691,157426,3,20,25,39,138531,45820,41191,10.7,7.72,18.42,3917,390,5,68,147,144,26,81.28,120,2080,136,1459,0,493
Gadag,46,49,32,91,5,1784,120,5405,113923,3,53,4,13,144271,83470,75907,17.4,14.56,31.96,2817,351,0,0,0,0,351,100.0,10,1838,23,464,0,261
Haveri,450,402,289,35,4,393,329,9900,13849,53,53,7,19,213565,78394,68663,17.71,14.09,31.8,5492,718,2,93,372,185,66,86.77,431,6046,29,2029,0,1764
Uttara Kannada,572,3919,0,22,7,92,0,8803,238346,1,1,14,18,161896,43114,38439,7.48,7.0,14.48,2109,7420,670,1721,2201,830,1998,67.78,200,1209,55,340,60,547
Ballari,0,99,285,328,29,240,960,20633,327254,32,32,102,102,329391,162588,149073,40.61,40.92,81.53,12176,1213,195,744,186,58,30,22.59,921,3645,96,1166,0,2030
Bidar,140,25,0,0,0,290,689,5230,227022,0,0,0,0,166758,76273,68462,14.44,16.21,30.65,336,886,1,119,524,173,69,86.46,617,4211,192,761,29,866
Kalburgi,0,0,634,80,33,0,0,32014,259932,0,0,34,34,328568,154791,136213,18.95,20.38,39.33,127,1287,25,86,744,308,124,91.38,1207,10031,56,1107,0,1330
Yadgir,26,51,182,81,7,390,270,16637,140454,0,0,0,0,200976,65387,64626,8.17,8.38,16.55,233,892,146,26,75,21,624,80.72,455,6195,49,855,187,1046
Raichur,238,0,0,28,3,627,2117,14185,279089,24,77,114,114,274237,193875,182314,54.1,57.27,111.37,26023,1461,8,21,47,139,1246,98.02,488,6826,10,1396,0,1615
Koppal,943,0,315,48,4,466,0,9149,153383,4,60,0,9,242346,109294,99538,25.04,25.09,50.13,4636,736,31,34,459,37,175,91.17,761,3071,3,548,0,1034
