District,Beneficiries under Bhagyajyoti Kutirajyoti,Villages Villages,Hamlets Hamlets,IP Sets I.p. Sets,Villages Villages,Hamlets Hamlets,IP Sets I.p. Sets,Ht Domestic Connection,Lt Domestic Connection,Ht Industrial Connection,Lt Industrial Connection,Ht Commercial Connection,Lt Commercial Connection,Ht IP Sets Connection,Lt IP Sets Connection,Street Light Lt,Water supply Ht,Lt Water Supply Connection,Ht Others Connection,Lt Others Connection,"Ht,Total","Lt,Total",Grand Total Ht Lt,Ht Domestic Consumption MU,Lt Domestic Consumption MU,Ht Industrial Consumption MU,Lt Industrial Consumption MU,Ht Commercial Consumption MU,Lt Commercial Consumption MU,Ht IP Sets Consumption MU,Lt IP Sets Consumption MU,"Street Light,Consumption In Million Units","Ht,Water supply,Consumption In Million Units","Lt,Water supply,Consumption In Million Units",Others Electricity Consumption Ht Consumption In Million Units Connection,Others Lt Consumption In Million Units Connection,"Ht,Total,Consumption In Million Units","Lt,Total,Consumption In Million Units","Grand Total Ht Lt,Consumption In Million Units","% of Electricity Consumption by sets to Total Consumption,Consumption In Million Units","Ht,Income from Electricity consumption Rs. in Lakhs,Consumption In Million Units","Lt,Income from Electricity consumption Rs. in Lakhs,Consumption In Million Units","Grand Total Ht Lt,Income from Electricity consumption Rs. in Lakhs,Consumption In Million Units"
Bengaluru(U),24346,562,120,103254,0,0,0,378,5461850,4195,109269,6918,778272,10,39122,28737,84,25344,1828,592901,13413,7035495,7048908,72.76,6067.0,2395.09,874.89,2203.92,1831.08,11.06,330.11,314.11,379.17,207.7,355.92,181.53,5417.92,9806.42,15224.34,2.24,584766.98,793325.47,1378092.45
Bengaluru(R),55254,1507,29,65853,0,0,0,10,473885,960,20815,248,52695,2,65853,4952,2,5472,95,33777,1317,657449,658766,1.62,231.26,562.52,74.67,92.4,77.59,0.21,571.29,23.83,0.52,139.61,17.39,8.67,674.66,1126.92,1801.58,31.72,63592.94,64644.29,128237.23
Ramanagara,61609,1164,833,76131,0,0,0,0,257392,436,15127,74,23176,0,76131,4586,13,5459,261,32895,784,414766,415550,0.0,136.04,548.01,39.33,28.22,42.15,0.0,580.09,22.52,300.27,99.71,34.74,11.5,911.24,931.34,1842.58,31.48,51366.02,50312.56,101678.58
Chitradurga,124196,1065,566,129948,0,0,0,12,363008,116,7345,25,32602,0,125720,4186,0,6492,34,3219,187,542572,542759,15.55,145.6,143.79,140.38,3.81,224.43,460.58,1199.04,168.48,8.05,65.66,2.76,91.57,634.54,2035.16,2669.7,62.17,4264.17,49732.41,53996.58
Davanagere,126377,968,782,130605,0,0,0,27,331379,350,10659,108,43713,33,77834,5064,29,16476,22,13052,569,498177,498746,197.8,7.11,12.57,6.31,4.85,130.95,103.71,114.0,163.0,15.15,78.44,11.23,11.66,345.31,511.47,856.78,25.41,21235.05,49548.44,70783.49
Kolara,92800,1731,142,101584,0,0,0,1,408874,393,9553,346,51726,9,101584,4252,16,7603,17,4022,782,587614,588396,0.12,177.59,278.86,30.34,25.14,43.92,488.3,985.9,43.41,6.67,302.33,1.92,471.22,801.01,2054.71,2855.72,51.62,17915.57,43283.4,61198.97
Chikkaballapura,118511,1513,245,100348,0,0,0,0,381648,202,10194,21,40582,1,100308,3617,9,6952,38,15241,271,558542,558813,0.0,61.55,12.29,16.25,0.69,16.17,0.0,399.02,10.92,0.43,105.37,1.31,9.55,14.72,618.83,633.55,62.98,1421.52,25639.07,27060.59
Shivamogga,93375,1531,2223,95737,0,0,1898,61,497410,184,11122,92,56328,22,93039,6477,36,5006,7,4971,402,674353,674755,0.26,268.21,131.05,35.58,17.41,70.09,0.0,804.52,20.68,30.38,36.71,54.18,3.02,233.28,1238.81,1472.09,54.65,22473.6,79296.33,101769.93
Tumakuru,165281,2715,3514,265729,0,0,0,8,879709,604,24354,111,84537,6,265729,8604,51,14626,90,36934,870,1314493,1315363,0.78,313.04,286.35,52.19,15.45,89.23,0.28,2149.33,45.58,16.75,205.57,10.3,4.08,329.91,2859.02,3188.93,67.41,30142.33,132304.97,162447.3
Chikkamagaluru,57255,1130,3793,66309,0,1,2637,4,333995,77,6854,21,34127,8,66309,3472,10,4238,38,2486,158,451481,451639,1.23,146.62,40.22,13.98,4.78,41.6,33.93,456.6,9.89,10.82,22.86,35.96,1.44,126.94,692.99,819.93,59.83,8181.1,45733.57,53914.67
Dakshina Kannada,25365,331,4284,114981,0,0,1737,42,607890,362,8540,464,83751,0,114981,9133,54,4850,155,6052,1077,835197,836274,15.81,747.24,378.36,50.81,137.26,188.58,0.0,362.82,28.66,46.77,58.65,96.64,11.23,674.84,1447.99,2122.83,17.09,63929.76,106775.81,170705.57
Udupi,8785,253,3927,74906,0,0,127,7,340609,328,5795,211,46211,0,75031,5586,12,1911,67,4344,625,479487,480112,4.43,370.96,134.52,36.06,46.09,93.56,0.0,123.51,7.21,7.74,13.78,25.87,8.31,218.65,653.39,872.04,14.16,21877.89,47589.31,69467.2
Hassan,110702,2576,1509,110944,0,0,682,0,543534,207,9505,81,51544,0,116980,5066,28,7087,92,7012,408,740728,741136,189.92,197.63,145.36,32.38,11.15,58.93,0.0,697.91,18.54,0.0,42.5,53.54,4.25,399.97,1052.14,1452.11,48.06,117264.81,67495.04,184759.85
Kodagu,15634,296,351,12859,0,4,101,0,174092,54,1915,71,21050,0,12859,1347,8,1568,31,6603,164,219434,219598,0.0,92.11,12.6,5.23,13.68,27.49,0.29,38.63,3.32,3.47,13.91,3.29,1.81,33.33,182.5,215.83,18.03,3482.93,11164.41,14647.34
Mandya,112252,1370,786,106218,0,0,194,1,474752,164,8367,49,43831,42,105103,3844,37,5200,47,2871,340,643968,644308,0.02,205.95,71.23,35.96,6.28,56.36,7.14,1044.6,16.06,346.79,63.88,8.55,2.84,440.01,1425.65,1865.66,56.37,29454.83,88292.53,117747.36
Mysuru,171453,1336,1687,109952,0,10,667,19,905004,516,12138,486,99775,0,109310,11487,81,8841,163,8550,1265,1155105,1156370,4.13,558.48,415.19,68.73,99.79,154.69,0.0,656.54,76.0,82.92,108.83,69.57,15.11,671.6,1638.38,2309.98,28.42,63736.73,117050.46,180787.19
Chamarajanagara,82165,509,412,61156,0,6,224,0,276580,70,2436,50,23520,4,61156,2269,16,5038,14,6723,154,377722,377876,0.0,103.75,20.22,5.91,4.05,26.23,16.76,509.56,7.82,11.27,32.99,1.31,1.69,53.61,687.95,741.56,70.97,24106.21,21081.76,45187.97
