District,Factories Readymade Garments,"Male,Employees,Garment","Female,Employees,Garment",Factories Textiles,"Male,Employees,Textile","Female,Employees,Textile",Factories Chemical,"Male,Employees,Chemical","Female,Employees,Chemical",Factories Engineering,"Male,Employees,Engineering","Female,Employees,Engineering",Factories Others,"Male,Employees,Other","Female,Employees,Other",Factories Total,"Male,Employees,Total","Female,Employees,Total",Factories,Male Employees,Female Employees,Total Employees,No. Automobiles,"Male,Employees,Automobile","Female,Employees,Automobile","Total,Employees,Automobile",No. Electricals Electronics,"Male,Employees,Elect. Electronics","Female,Employees,Elect. Electronics","Total,Employees,Elect. Electronics",No. Chemicals,"Male,Employees,Chemicals","Female,Employees,Chemicals","Total,Employees,Chemicals",No. Food Intoxicants,"Male,Employees,Food & Intoxicants","Female,Employees,Food & Intoxicants","Total,Employees,Food & Intoxicants",No. Leather,"Male,Employees,Leather","Female,Employees,Leather","Total,Employees,Leather",No. Paper and Printing,"Male,Employees,Paper & Printing","Female,Employees,Paper & Printing","Total,Employees,Paper & Printing",No. Rubber and plastic,"Male,Employees,Rubber & Plastic","Female,Employees,Rubber & Plastic","Total,Employees,Rubber & Plastic",No. Textiles,"Total,Employees,Textile",No. Wood,"Male,Employees,Wood","Female,Employees,Wood","Total,Employees,Wood",No. Others,"Total,Employees,Other",No. Other Service Activities,"Male,Employees,Other Services","Female,Employees,Other Services","Total,Employees,Other Services",No. Total,% of Industries to state total Total,"Total,Employees,Total",% of Employment to State total Total,No.,Working Factories No.,Cane Crushed MT,Sugar Produced MT,No of Enterprises engaged in Trade Hotels and Transport activities per 2015 Economic Census,Estates Factories,Sheds Factories,Plots Factories
Bengaluru(U),932,101105,229222,134,7265,5335,351,43277,9842,2130,123819,16704,4477,258732,48579,8024,534198,309682,675,28263,13357,41620,4211,29439,9812,39251,1336,15853,5285,21138.0,32264,7207,2404,9611,4920,28547,9516,38063.0,3906,34194,11398,45592,3687,29210,9737,38947.0,4125,34702,11566,46268,7459,83197.0,3712,26653,8885,35538,42553,822784,96550,700608,233536,934144,204723,29.53,2114533,42.39,7360,0,0.0,0.0,222886,15,1749,606
Bengaluru(R),40,8524,18211,16,2152,255,77,12363,1359,249,23439,2131,424,34400,5559,806,80878,27515,5,596,314,910,1775,11548,3647,15195,1706,11037,3486,14523.0,1691,12552,3964,16516,2352,13420,4237,17657.0,1315,10101,3190,13291,1540,9850,3111,12961.0,1400,10309,3256,13565,3675,32218.0,1468,10048,3174,13222,7114,52239,13721,91474,28887,120361,37757,5.45,321748,6.45,5014,0,0.0,0.0,18568,3,193,1907
Ramanagara,14,1744,5521,3,100,40,13,359,90,85,17051,2559,256,21368,6716,371,40622,14926,235,1102,543,1645,224,869,371,1240,190,2229,954,3183.0,199,1615,691,2306,771,4655,1995,6650.0,199,426,180,606,379,2675,1145,3820.0,206,909,389,1298,1119,6547.0,297,1003,428,1431,1871,15518,1552,7551,3234,10785,7007,1.01,53384,1.07,1075,0,0.0,0.0,20953,6,119,146
Chitradurga,4,605,2940,1,11,2,0,0,0,0,0,0,198,4521,1055,203,5137,3997,10,680,515,1195,835,4020,430,4450,655,2505,345,2850.0,243,760,345,1105,385,2590,1110,3700.0,293,966,414,1380,168,773,402,1175.0,680,1022,438,1460,4250,60000.0,770,1250,360,1610,2400,4900,2750,5879,2520,8399,13429,1.94,91029,1.82,793,0,0.0,0.0,24276,5,84,144
Davanagere,11,371,1122,2,191,559,1,40,10,19,669,86,215,7822,1533,248,9093,3310,12,426,262,688,430,1433,0,1433,293,690,0,690.0,167,1561,616,2177,1062,2928,2485,5413.0,318,526,88,614,361,780,259,1039.0,208,469,155,624,525,6390.0,647,3882,0,3882,2867,9003,6173,18144,6048,24192,13051,1.88,55457,1.11,854,1,144998.28,13049.85,35144,56,566,1612
Kolara,19,2096,7867,3,88,12,35,4976,330,123,12830,477,522,3734,1586,702,23724,10272,352,1589,1063,2652,178,1346,338,1684,907,6442,1610,8052.0,1348,9419,2355,11774,1069,8216,2057,10273.0,158,775,198,973,230,1861,462,2323.0,153,1501,378,1879,2234,21921.0,1118,6782,753,7535,4699,27354,6823,21618,17727,39345,18917,2.73,133113,2.67,352,0,0.0,0.0,26406,13,110,1452
Chikkaballapura,12,841,4471,2,83,123,7,121,27,34,1185,179,40,1172,353,95,3402,5153,877,3659,2440,6099,8,30,21,51,14,32,21,53.0,33,182,120,302,624,3274,2182,5456.0,1270,3194,2128,5322,61,207,139,346.0,25,191,128,319,767,7453.0,38,178,118,296,336,2078,963,3444,2296,5740,4139,0.6,27416,0.55,877,0,0.0,0.0,18485,5,86,171
Shivamogga,11,3027,6645,1,700,2800,1,6,0,57,1583,105,223,10503,2052,293,15819,11602,12,1789,2087,3876,438,2700,1108,3808,469,739,221,960.0,251,1876,198,2074,3169,9709,4477,14186.0,789,1893,29,1922,505,1431,592,2023.0,338,1260,433,1693,2141,8770.0,2488,8649,0,8649,6197,32970,3350,13780,1595,15375,20135,2.9,92430,1.85,409,0,0.0,0.0,40759,11,212,637
Tumakuru,16,3782,7774,2,19,30,45,871,309,67,4021,352,526,11256,4663,656,19949,13128,83,1873,415,2288,1371,2781,1559,4340,3853,5842,2145,7987.0,2385,4575,2534,7109,6151,4013,6129,10142.0,3620,2094,2043,4137,1352,3239,1575,4814.0,800,3095,843,3938,4747,12018.0,907,4900,946,5846,3550,38024,5321,92481,5488,97969,34057,4.91,196324,3.94,2193,0,0.0,0.0,53446,8,420,2245
Chikkamagaluru,0,0,0,1,150,50,7,319,2,3,22,15,89,2388,1080,100,2879,1147,0,0,0,0,150,456,50,506,213,560,48,608.0,81,280,108,388,941,2714,3105,5819.0,50,98,18,116,118,221,163,384.0,62,278,55,333,1120,3514.0,1606,4866,204,5070,704,3136,867,2132,1073,3205,5912,0.85,23079,0.46,560,0,0.0,0.0,26110,4,42,225
