District,RRB Branches Lakhs,RRB ATMs Lakhs,RRB Agri Loan Lakhs,RRB Industry Loan Lakhs,RRB Service Loan Lakhs,RRB Other Loans Lakhs,RRB Total Loans Lakhs,RRB Deposits Lakhs,PSB Branches Lakhs,PSB ATMs Lakhs,PSB Agri Loan Lakhs,PSB Industry Loan Lakhs,PSB Service Loan Lakhs,PSB Other Loans Lakhs,PSB Total Loans Lakhs,PSB Deposits Lakhs,Foreign Bank Branches Lakhs,Foreign Bank ATMs Lakhs,Foreign Bank Agri Loan Lakhs,Foreign Bank Industry Loan Lakhs,Foreign Bank Service Loan Lakhs,Foreign Bank Other Loans Lakhs,Foreign Bank Total Loans Lakhs,Foreign Bank Deposits Lakhs,Private Bank Branches Lakhs,Private Bank ATMs Lakhs,Private Bank Agri Loan Lakhs,Private Bank Industry Loan Lakhs,Private Bank Service Loan Lakhs,Private Bank Other Loans Lakhs,Private Bank Total Loans Lakhs,Private Bank Deposits Lakhs
Bengaluru(U),41,1,21659.0,15336.0,20329.0,59698.0,117022.0,190117.0,1452,4745,797588.0,1555868.0,1436185.0,18628596.0,22418237.0,32947714.0,15,0,0.0,0.0,0.0,3585000.0,3585000.0,8969100.0,965,3701,528715.0,842021.0,1317007.0,16810780.0,19498523.0,25557649.0
Bengaluru(R),19,1,6246.0,4380.0,4106.0,6689.0,21421.0,41154.0,127,133,211500.0,121250.0,112480.0,36057.0,481287.0,547168.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41,79,34900.0,17550.0,7020.0,207410.0,266880.0,231900.0
Ramanagara,14,0,9228.0,3320.36,1292.14,4615.5,18456.0,21546.0,112,169,190440.5,68558.58,26661.67,95220.25,380881.0,392512.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35,47,87179.5,31384.62,12205.13,43589.75,174359.0,271413.0
Chitradurga,84,80,1969.0,2005.0,2345.0,4355.0,10674.0,14333.0,93,123,1574.0,1024.0,740.0,1540.0,4878.0,4240.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,40,3313.0,3633.0,2431.0,1989.0,11366.0,15681.0
Davanagere,51,23,563.0,2080.0,2681.0,5285.0,10609.0,114390.0,115,199,154753.0,36357.0,15742.0,13184.0,220036.0,570467.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,44,83,54108.0,23365.0,9017.0,40769.0,127259.0,183673.0
Kolara,45,28,99959.0,12295.0,6812.0,33325.0,152391.0,169734.0,109,178,142434.0,61828.0,67495.0,48594.0,320351.0,320342.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24,59,23869.0,7847.0,11425.0,29684.0,72825.0,108881.0
Chikkaballapura,37,16,70222.0,5014.0,3492.0,8600.0,87328.0,92817.0,92,138,137809.0,19665.0,14821.0,68597.0,240892.0,298814.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26,41,28763.0,3070.0,1559.0,35171.0,68563.0,67882.0
Shivamogga,43,19,49947.0,3385.0,2258.0,1379.0,56969.0,124200.0,272,294,139775.0,35599.0,23734.0,36888.0,235996.0,1122171.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53,80,20143.0,13223.0,8815.0,5613.0,47794.0,283842.0
Tumakuru,68,0,50352.0,12229.0,4167.0,25575.0,92323.0,142299.0,241,303,181041.0,123949.0,73451.0,79715.0,458156.0,670206.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35,71,25012.0,11617.0,8264.0,78881.0,123774.0,31740.0
Chikkamagaluru,53,0,53717.0,988.0,5229.0,10953.0,70887.0,100111.0,146,170,236000.0,18063.0,47427.0,139395.0,440885.0,551037.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,55,70,92506.0,5523.0,20370.0,57329.0,175728.0,243723.0
Dakshina Kannada,26,1,5129.0,0.0,6712.0,16117.0,27958.0,29094.0,424,618,330660.0,114468.0,267615.0,1024271.0,1737014.0,3489081.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,125,169,72372.0,24989.0,97551.0,491248.0,686160.0,1901240.0
Udupi,23,3,17485.0,4576.0,3310.0,3070.0,28441.0,30275.0,275,435,363535.0,191616.0,45616.0,134202.0,734969.0,1992550.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,65,33,6993.0,29823.0,4984.0,18337.0,60137.0,401395.0
Hassan,61,0,68300.0,8064.0,10787.0,3204.0,90355.0,94577.0,194,268,392883.0,60795.72,59761.28,88036.0,601476.0,711535.89,0,0,0.0,0.0,0.0,0.0,0.0,0.0,56,90,60885.46,27657.96,14540.04,64608.0,167691.46,226410.0
Kodagu,26,0,11420.97,5661.0,1738.26,766.05,19586.28,33055.43,124,111,223603.0,105579.0,37951.0,14027.0,381160.0,536539.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25,31,37538.0,29906.0,10685.0,2135.0,80264.0,91568.0
Mandya,58,0,50953.0,2618.0,3657.0,4853.0,62081.0,93109.0,166,280,170573.0,83360.0,28489.0,36852.0,319274.0,604067.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,22,61,67945.0,21065.0,7694.0,2887.0,99591.0,68523.0
Mysuru,110,0,86276.0,4356.0,8128.0,25244.0,124004.0,226557.0,313,477,496628.0,281483.0,176341.0,376681.0,1331133.0,2388701.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100,293,260142.0,174600.0,135750.0,189470.0,759962.0,1094141.0
Chamarajanagara,26,0,15557.0,2517.0,4370.0,2240.0,24684.0,37656.0,76,78,101178.0,19909.0,39641.0,33845.0,194573.0,235272.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13,8,20793.0,4090.0,7997.0,7107.0,39987.0,26340.0
Belagavi,170,17,94252.0,17706.0,22536.0,24687.0,159181.0,364740.0,315,459,476347.0,49729.0,63311.0,411943.0,1001330.0,2084317.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,121,227,108139.0,6427.0,11299.0,90224.0,216089.0,610739.0
Vijayapura,79,7,136394.0,389.0,4425.0,45155.0,186363.0,165033.0,130,193,185835.0,46462.0,69687.0,162606.0,464590.0,624903.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26,66,58615.0,14655.0,21980.0,51287.0,146537.0,168558.0
Bagalkot,76,9,120598.71,7666.36,11397.64,24101.93,163764.64,203008.01,125,126,35627.5,2427.1,3351.8,13371.5,54777.9,63834.86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,52,78,10605.0,1129.8,1625.8,4241.9,17602.5,12437.61
Dharwad,76,16,4824.61,25.75,2102.25,6019.45,12972.06,466091.0,195,333,38639.21,19319.59,14489.69,24149.5,96597.99,152636.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,77,117,15258.42,7629.2,5721.9,9536.5,38146.02,60273.0
Gadag,81,8,111403.27,6120.0,9541.0,20323.0,147387.27,151193.6,76,104,91415.72,10092.0,2489.0,136359.0,240355.72,351674.47,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19,23,5652.01,626.97,327.85,36371.8,42978.63,60779.17
Haveri,78,10,93112.51,0.0,0.0,64984.12,158096.63,160398.06,90,106,191920.0,53965.05,53490.0,25350.0,324725.05,353707.34,0,0,0.0,0.0,0.0,0.0,0.0,0.0,38,55,60633.01,21752.0,27733.98,7711.0,117829.99,111010.69
Uttara Kannada,46,5,4692.4,383.4,12178.6,10213.9,27468.3,92060.0,180,230,68387.0,76376.0,73420.0,41055.0,259238.0,1101473.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41,49,5378.0,8487.0,15856.0,17595.0,47316.0,173237.0
Ballari,104,49,258945.0,21731.0,12494.0,29108.0,322278.0,454797.0,165,256,181696.0,222645.0,143829.0,215747.0,763917.0,972168.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,61,109,83055.0,46861.0,51989.0,77989.0,259894.0,359328.0
Bidar,54,16,40674.0,6819.0,9208.0,2522.0,59223.0,80726.0,90,168,145269.0,46442.0,53717.0,39526.0,284954.0,380596.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,17,42,25758.0,7695.0,10662.0,9131.0,53246.0,82235.0
