District,Multiaxled Airculated Vehicles Goods Vehicles,Trucks and Lorries Goods Vehicles,Four Wheelers Goods Vehicles,Wheelers Goods Vehicles,Total Goods Vehicles,Stage Carriag Buses,Contract Vehicles Buses,Private Service Vehicles Buses,Educational Institution Vehicles Buses,Other Buses Buses,Total Buses,Motor Cabs Taxis,Maxi Cabs Taxis,Other Cabs Taxis,Seated Vehicles Auto Rickshaws Passenger Vehicles,Four to Six Seated Vehiclea Passenger Vehicles,Scooters Two-Wheelers,Mopeds Two-Wheelers,Motor Cycles Two-Wheelers,Total Two-Wheelers,Cars Motor Vehicles,Jeep Motor Vehicles,Omni Bus Motor Vehicles,Tractors Motor Vehicles,Tillers Motor Vehicles,Vehicles For Carrying Construction Materials,Others Vehicles,Total Motor Vehicles,% of total motor vehicles to the state total,National Highway,State Highway,Major District Roads,Major Bridges in Nos.,Length of Railway Lines,"Pucca Road,Panchayat Roads,Rural Road Length Km","WBM Road,Panchayat Roads,Rural Road Length Km","Kaccha Road,Panchayat Roads,Rural Road Length Km","Total Road,Panchayat Roads,Rural Road Length Km",Total No.of Habitations All-Weather Road Access,No.of Habitations access to all weather roads,% of Habitations access to all weather roads All-Weather Road Access,Post Offices Communications No.,Telephone Exchanges Communications No.,Telephones Communications No.,Mobile Phones Communications No.,Internet Connections Communications No.
Bengaluru(U),54673,71055,105738,81338,312804,17195,2905,12401,13537,6087,52125,129247,42492,15748,217452,42276,233507,136583,5457346,5827436,1619916,8105,50518,12803,9420,3390,31816,8375548,37.83,167.2,160.4,693.94,2,148,1475.26,153.47,259.62,1888.35,1064,942,88.53,271,494,370262,569526,99391
Bengaluru(R),3152,7434,14642,6150,31378,268,349,1932,1010,596,4155,3729,1213,0,6331,130,20927,16286,140235,177448,25592,118,666,5466,3502,607,720,261055,1.18,205.0,207.85,672.9,1,118,1394.46,357.65,907.54,2659.65,1274,1083,85.01,134,42,5168,34648,3243
Ramanagara,1270,3932,2790,2217,10209,213,84,834,399,1871,3401,3051,662,0,7894,0,1972,28405,134873,165250,15641,40,183,5916,4904,471,1253,218875,0.99,120.95,387.65,1434.49,33,74,1174.34,290.26,1078.62,2543.22,2137,1873,87.65,180,11,3133,19060,2074
Chitradurga,5685,6285,19726,11730,43426,380,55,735,718,3662,5550,963,71,0,1969,67,12389,5450,28903,46742,3041,0,7,3218,1012,51,571,106688,0.48,343.5,437.15,2088.81,6,171,1867.97,2035.03,5508.97,9411.97,1645,1645,100.0,317,79,5460,46770,2352
Davanagere,2653,10079,10131,7091,29954,423,44,280,379,1541,2667,3353,1811,126,15461,256,76074,37922,295872,409868,41359,1075,767,37111,20517,481,1388,566194,2.56,187.42,513.79,1289.5,10,43,1464.27,1242.11,2631.91,5338.29,954,936,98.11,261,72,14241,325038,3701
Kolara,557,1919,3564,1135,7175,123,1,25,292,400,841,973,315,0,3172,111,26911,122467,65937,215315,10190,0,241,4705,5189,566,52,248845,1.12,137.4,305.52,1222.44,2,122,2083.0,306.0,1503.48,3892.48,1951,1852,94.93,221,87,10058,303811,3846
Chikkaballapura,751,2592,7929,1323,12595,132,41,16,571,1351,2111,2036,922,58,5172,288,22833,12789,150349,185971,11960,191,2112,9333,7163,586,801,241299,1.09,148.0,263.88,993.34,10,90,1940.53,498.55,1958.94,4398.02,1919,1919,100.0,198,72,3654,49906,2047
Shivamogga,716,8732,5510,2064,17022,1250,181,29,352,98,1910,2601,835,0,6172,0,62179,41827,327100,431106,61843,385,343,13927,9546,692,4305,550687,2.49,449.3,881.05,2074.67,13,125,2409.83,2040.47,5171.44,9621.74,4739,4739,100.0,357,113,15467,244426,4946
Tumakuru,3325,5370,2487,244,11426,660,115,967,917,0,2659,2506,1611,2150,19112,47,126871,56324,260842,444037,37712,445,0,19901,20201,1492,0,563299,2.54,475.9,687.38,3789.75,25,122,3032.58,1497.95,6770.52,11301.05,5125,4551,88.8,557,100,13714,276155,4071
Chikkamagaluru,50,17334,13296,4864,35544,555,20,43,515,905,2038,3586,1555,0,11271,0,16660,3730,233367,253757,64651,5017,196,14583,9477,325,1346,403346,1.82,267.61,535.71,1632.82,8,143,2913.96,1260.89,4535.29,8710.14,3671,1952,53.17,301,148,9578,250884,3146
Dakshina Kannada,4227,13324,6591,3547,27689,1842,179,741,1439,3440,7641,19540,2266,0,36630,5561,134015,10019,455483,599517,191026,6468,3982,382,271,964,1301,903238,4.08,401.01,453.33,775.36,34,88,3499.98,170.04,5098.83,8768.85,7655,3063,40.01,471,170,51669,318451,14929
Udupi,1057,5910,13880,3193,24040,916,163,224,999,0,2302,7631,1952,118,25025,0,0,3089,411669,414758,89761,4438,273,625,144,1126,710,572903,2.59,179.0,260.31,791.88,22,102,2915.76,157.4,4275.21,7348.37,3462,3227,93.21,325,91,22726,249926,9024
Hassan,1153,4725,9590,4783,20251,1552,52,141,437,124,2306,4680,2355,776,7207,355,75545,22988,235783,334316,35865,1039,1303,26099,16252,657,5359,458820,2.07,253.16,996.03,3131.35,16,246,2905.3,1972.26,4781.48,9659.04,3629,2596,71.53,414,87,10198,287347,3807
Kodagu,98,2964,4745,1323,9130,93,21,26,343,0,483,1814,527,0,10284,0,7100,2550,89027,98677,48199,6278,7253,2698,4722,0,3508,193573,0.87,61.0,476.31,855.5,9,0,2003.18,1124.6,1116.03,4243.81,569,416,73.11,213,76,10206,272560,4487
