LearnerID,Age,Gender,LocationType,HouseholdIncome_USD,HighestEducationCompleted,EmploymentStatus,CurrentLearningStatus,TypeOfCurrentLearning,LearningPlatform,HoursStudied_Weekly,MotivationForLearning,ChallengesToLearning,PreferredLearningFormat,FutureLearningInterest,AccessToBroadband,DigitalLiteracyLevel,MentorshipAvailability,LastCertificationYear,StudentLoanDebt_USD,LearningSatisfactionRating
E001,35,Female,Urban,75000,Bachelor's,Employed,Yes,Certification,Professional Institute,8,Career Advancement,Time Constraints,Online Self-Paced,Yes,Yes,Intermediate,Yes,2023,15000,4
E002,42,Male,Suburban,90000,Master's,Employed,No,None,N/A,0,Career Advancement,No Challenges,Online Live,Yes,Yes,Advanced,Yes,2010,0,5
E003,28,Female,Urban,60000,Bachelor's,Employed,Yes,Skill-Based Course,MOOC Platform,5,Skill Development,Cost,Online Self-Paced,Yes,Yes,Intermediate,No,2024,5000,4
E004,65,Male,Rural,40000,High School,Retired,No,None,N/A,0,Personal Interest,No Challenges,In-Person Classes,No,No,Basic,No,0,0,3
E005,30,Other,Urban,80000,Bachelor's,Employed,Yes,Degree Program,Online University,10,Career Advancement,Family Commitments,Online Live,Yes,Yes,Advanced,Yes,2022,25000,4
E006,55,Female,Suburban,110000,Master's,Employed,No,None,N/A,0,Personal Interest,No Challenges,In-Person Classes,Yes,Yes,Advanced,Yes,2005,0,5
E007,24,Male,Urban,45000,High School,Student,Yes,Degree Program,Local College,15,Qualification,Cost,In-Person Classes,Yes,Yes,Intermediate,No,0,10000,3
E008,72,Female,Rural,35000,High School,Retired,No,None,N/A,0,Personal Interest,No Challenges,In-Person Classes,No,No,Basic,No,0,0,4
E009,42,Male,Urban,95000,Master's,Employed,Yes,Certification,Professional Institute,7,Skill Development,Time Constraints,Blended,Yes,Yes,Advanced,Yes,2023,8000,4
E010,33,Female,Suburban,70000,Bachelor's,Employed,No,None,N/A,0,Career Advancement,No Challenges,Online Self-Paced,Yes,Yes,Intermediate,No,2015,0,4
E011,29,Male,Urban,55000,Bachelor's,Employed,Yes,Skill-Based Course,MOOC Platform,6,Skill Development,Time Constraints,Online Live,Yes,Yes,Intermediate,No,2024,3000,4
E012,60,Female,Rural,85000,Master's,Employed,No,None,N/A,0,Personal Interest,No Challenges,In-Person Classes,Yes,Yes,Advanced,Yes,2008,0,5
E013,27,Other,Urban,62000,Bachelor's,Employed,Yes,Degree Program,Online University,12,Qualification,Cost,Online Self-Paced,Yes,Yes,Intermediate,No,2023,18000,4
E014,78,Male,Suburban,58000,PhD,Retired,No,None,N/A,0,Personal Interest,No Challenges,In-Person Classes,No,No,Basic,No,0,0,4
E015,44,Female,Urban,120000,Master's,Employed,Yes,Certification,Professional Institute,9,Career Advancement,No Challenges,Blended,Yes,Yes,Advanced,Yes,2022,0,5
E016,36,Male,Suburban,82000,Bachelor's,Employed,Yes,Skill-Based Course,MOOC Platform,7,Skill Development,Time Constraints,Online Live,Yes,Yes,Intermediate,Yes,2024,6000,4
