EmployeeID,Age,Gender,LocationType,HouseholdIncome_USD,EducationLevel,EmploymentStatus,Industry,JobLevel,YearsOfExperience,JobSearchStatus,PreferredJobSearchPlatform,UsedHRTech_Last12Months,ResumeOptimizedForATS,SkillsGapsIdentified,InterestInUpskilling,RemoteWorkPreference,CareerGoalsDefined,SatisfactionWithCurrentJob,UsedAI_RecruitmentTools
E001,35,Female,Urban,75000,Bachelor's,Employed - Full-time,IT,Mid-level,10,No,LinkedIn,Yes,Yes,No,Yes,Hybrid,Yes,4,Yes
E002,42,Male,Suburban,90000,Master's,Employed - Full-time,Finance,Senior,18,No,Referrals,Yes,Yes,No,No,In-office,Yes,5,No
E003,28,Female,Urban,60000,Bachelor's,Employed - Full-time,Retail,Entry-level,4,Yes,Indeed,Yes,Yes,Yes,Yes,In-office,Yes,3,Yes
E004,65,Male,Rural,40000,High School,Retired,N/A,N/A,40,No,N/A,No,No,No,No,No Preference,No,N/A,No
E005,30,Other,Urban,80000,Bachelor's,Employed - Full-time,Healthcare,Mid-level,6,No,Company Websites,Yes,Yes,No,Yes,Remote,Yes,4,Yes
E006,55,Female,Suburban,110000,Master's,Employed - Full-time,Education,Executive,25,No,Referrals,Yes,Yes,No,No,Hybrid,Yes,5,No
E007,24,Male,Urban,45000,High School,Unemployed - Actively Seeking,Hospitality,Entry-level,2,Yes,Indeed,Yes,No,Yes,Yes,No Preference,Yes,N/A,Yes
E008,72,Female,Rural,35000,High School,Retired,N/A,N/A,35,No,N/A,No,No,No,No,No Preference,No,N/A,No
E009,42,Male,Urban,95000,Master's,Employed - Full-time,IT,Senior,20,No,Referrals,Yes,Yes,No,No,Remote,Yes,5,Yes
E010,33,Female,Suburban,70000,Bachelor's,Employed - Full-time,Manufacturing,Mid-level,8,No,LinkedIn,Yes,Yes,Yes,Yes,Hybrid,Yes,4,No
E011,29,Male,Urban,55000,Bachelor's,Employed - Part-time,Retail,Entry-level,5,Yes,Indeed,Yes,Yes,Yes,Yes,In-office,Yes,3,Yes
E012,60,Female,Rural,85000,Master's,Employed - Full-time,Finance,Senior,30,No,Referrals,Yes,Yes,No,No,In-office,Yes,5,No
E013,27,Other,Urban,62000,Bachelor's,Employed - Full-time,Healthcare,Mid-level,3,No,Company Websites,Yes,Yes,No,Yes,Hybrid,Yes,4,Yes
E014,78,Male,Suburban,58000,PhD,Retired,N/A,N/A,45,No,N/A,No,No,No,No,No Preference,No,N/A,No
E015,44,Female,Urban,120000,Master's,Employed - Full-time,IT,Executive,22,No,Referrals,Yes,Yes,No,No,Remote,Yes,5,Yes
E016,36,Male,Suburban,82000,Bachelor's,Employed - Full-time,Education,Mid-level,12,No,LinkedIn,Yes,Yes,No,Yes,Hybrid,Yes,4,No
E017,23,Female,Urban,40000,High School,Unemployed - Actively Seeking,Hospitality,Entry-level,1,Yes,Indeed,Yes,No,Yes,Yes,No Preference,Yes,N/A,Yes
E018,70,Male,Rural,50000,Bachelor's,Retired,N/A,N/A,38,No,N/A,No,No,No,No,No Preference,No,N/A,No
E019,31,Other,Urban,78000,Master's,Employed - Full-time,Manufacturing,Mid-level,7,No,Company Websites,Yes,Yes,No,Yes,In-office,Yes,4,Yes
E020,49,Female,Suburban,100000,Master's,Employed - Full-time,Finance,Senior,24,No,Referrals,Yes,Yes,No,No,Hybrid,Yes,5,No
E021,26,Male,Urban,50000,Bachelor's,Employed - Full-time,Retail,Entry-level,3,Yes,Indeed,Yes,Yes,Yes,Yes,In-office,Yes,3,Yes
E022,64,Female,Suburban,68000,High School,Retired,N/A,N/A,30,No,N/A,No,No,No,No,No Preference,No,N/A,No
E023,34,Male,Urban,88000,Bachelor's,Employed - Full-time,IT,Mid-level,9,No,LinkedIn,Yes,Yes,No,Yes,Remote,Yes,4,Yes
E024,47,Female,Rural,92000,Master's,Employed - Full-time,Healthcare,Senior,20,No,Referrals,Yes,Yes,No,No,Hybrid,Yes,5,No
