EntityID,EntityType,FoundingYear,NumStaff_FullTime,AnnualBudget_USD,PrimaryMission,TechEngagementLevel,UtilizesCloudServices,UsesDedicatedSoftware,Partnerships_TechSector,DigitalLiteracyPrograms,OnlinePresence_Rating,FundingSource_Primary,VolunteerBase_Size,DataDrivenDecisionMaking,TechSolutionDeveloped_InHouse,CollaboratesWithStartups,ITInfrastructureMaturity,CybersecurityMeasures_InPlace,ImpactMeasurement,TechInnovationFocus
AJ001,Trust,1998,15,300000,Tech Skill Development,High,Yes,Yes,8,Yes,4,Grants,Medium,Yes,No,Yes,Advanced,Yes,Yes,Yes
AJ002,NGO,2005,8,150000,Digital Inclusion,Medium,Yes,No,3,Yes,3,Donations,Large,No,No,No,Standard,No,Yes,No
AJ003,Society,2010,5,80000,Startup Support,High,Yes,Yes,5,No,4,Program Fees,Small,Yes,Yes,Yes,Advanced,Yes,Yes,Yes
AJ004,Association,1990,20,400000,Policy Advocacy,Medium,Yes,Yes,10,No,5,Corporate CSR,Medium,Yes,No,Yes,Advanced,Yes,Yes,No
AJ005,Section 8 Company,2015,12,250000,Social Innovation,Tech-Focused,Yes,Yes,7,Yes,4,Government Funds,Medium,Yes,Yes,Yes,Advanced,Yes,Yes,Yes
AJ006,Trust,2000,10,200000,Research,Medium,Yes,No,4,No,3,Grants,Small,Yes,No,No,Standard,No,Yes,No
AJ007,NGO,2008,6,100000,Digital Inclusion,Low,No,No,1,Yes,2,Donations,Large,No,No,No,Basic,No,No,No
AJ008,Society,2012,3,60000,Startup Support,Medium,Yes,No,2,No,3,Program Fees,Small,No,No,Yes,Standard,No,Yes,No
AJ009,Association,1992,18,350000,Policy Advocacy,High,Yes,Yes,9,No,5,Corporate CSR,Medium,Yes,No,Yes,Advanced,Yes,Yes,No
AJ010,Section 8 Company,2017,10,200000,Social Innovation,Tech-Focused,Yes,Yes,6,Yes,4,Government Funds,Medium,Yes,Yes,Yes,Advanced,Yes,Yes,Yes
AJ011,Trust,2002,13,280000,Tech Skill Development,High,Yes,Yes,7,Yes,4,Grants,Medium,Yes,No,Yes,Advanced,Yes,Yes,Yes
AJ012,NGO,2006,7,140000,Digital Inclusion,Medium,Yes,No,2,Yes,3,Donations,Large,No,No,No,Standard,No,Yes,No
AJ013,Society,2011,4,70000,Startup Support,High,Yes,Yes,4,No,4,Program Fees,Small,Yes,Yes,Yes,Advanced,Yes,Yes,Yes
AJ014,Association,1991,22,420000,Policy Advocacy,Medium,Yes,Yes,11,No,5,Corporate CSR,Medium,Yes,No,Yes,Advanced,Yes,Yes,No
AJ015,Section 8 Company,2016,14,280000,Social Innovation,Tech-Focused,Yes,Yes,8,Yes,4,Government Funds,Medium,Yes,Yes,Yes,Advanced,Yes,Yes,Yes
AJ016,Trust,2003,11,220000,Research,Medium,Yes,No,5,No,3,Grants,Small,Yes,No,No,Standard,No,Yes,No
AJ017,NGO,2009,5,90000,Digital Inclusion,Low,No,No,1,Yes,2,Donations,Large,No,No,No,Basic,No,No,No
AJ018,Society,2013,2,50000,Startup Support,Medium,Yes,No,3,No,3,Program Fees,Small,No,No,Yes,Standard,No,Yes,No
AJ019,Association,1993,19,380000,Policy Advocacy,High,Yes,Yes,10,No,5,Corporate CSR,Medium,Yes,No,Yes,Advanced,Yes,Yes,No
AJ020,Section 8 Company,2018,11,230000,Social Innovation,Tech-Focused,Yes,Yes,7,Yes,4,Government Funds,Medium,Yes,Yes,Yes,Advanced,Yes,Yes,Yes
AJ021,Trust,1999,16,320000,Tech Skill Development,High,Yes,Yes,9,Yes,4,Grants,Medium,Yes,No,Yes,Advanced,Yes,Yes,Yes
AJ022,NGO,2007,9,160000,Digital Inclusion,Medium,Yes,No,4,Yes,3,Donations,Large,No,No,No,Standard,No,Yes,No
AJ023,Society,2012,6,90000,Startup Support,High,Yes,Yes,6,No,4,Program Fees,Small,Yes,Yes,Yes,Advanced,Yes,Yes,Yes
AJ024,Association,1994,21,410000,Policy Advocacy,Medium,Yes,Yes,12,No,5,Corporate CSR,Medium,Yes,No,Yes,Advanced,Yes,Yes,No
AJ025,Section 8 Company,2019,13,260000,Social Innovation,Tech-Focused,Yes,Yes,8,Yes,4,Government Funds,Medium,Yes,Yes,Yes,Advanced,Yes,Yes,Yes
