District,Taluks,Hoblies,Grama Panchayaths,Circles,Inhabited Village Status,Total Villages,City Corporations,City Municipalities,Town Muncipal Councils,Town Panchayats,NACsUrban Local Bodies,Total Urban Bodies,Police Stations,Prisons,Male Prisoners,Female Prisoners,Fire Stations,Fire Tankers,Fire Emergency Calls,Property Saved (2019–20),Urban Ration Shops,Rural Ration Shops,Total Ration Shops,Urban Anthyodaya Holders,Rural Anthyodaya Holders,Total Anthyodaya Holders,Urban Priority Holders,Rural Priority Holders,Total Priority Holders,Urban Non-Priority Holders,Rural Non-Priority Holders,Total Non-Priority Holders,Urban Card Holders,Rural Card Holders,Total Card Holders,Urban With Cylinder,Rural With Cylinder,Total With Cylinder,% With Cylinder (State Share),Urban Without Cylinder,Rural Without Cylinder,Total Without Cylinder,% Without Cylinder (State),Rural With Cylinder,Total With Cylinder,% With Cylinder (State),Urban Without Cylinder,Rural Without Cylinder,Total Without Cylinder,% Without Cylinder (State),Urban With Cylinder (2),Rural With Cylinder (2),Total With Cylinder (2),% With Cylinder (State) (2),Urban Without Cylinder (2),Rural Without Cylinder (2),Total Without Cylinder (2),% Without Cylinder (State) (2),GDDP Current Prices 2017–18,NDDP Current Prices 2017–18,GDDP Constant Prices 2017–18,NDDP Constant Prices 2017–18,Per Capita Income (Current),Per Capita Income (Constant),Rank
Bengaluru(U),5,27,93,227,562,588,1,1,6,0,0,8,177,1,4922,199,21,53,3611,8578.87,1062,238,1300,19681,8527,28208,771802,191657,963459,358099,14503,372602,1149582,214687,1364269,19681,8527,28208,2.03,0,0,0,0.0,191657,963459,8.78,0,0,0,0.0,358099,14503,372602,18.87,0,0,0,0.0,48905970,46335480,37869984,35711422,4354501,3356103,1
Bengaluru(R),4,17,105,191,957,1051,0,2,3,0,0,5,18,1,39,0,4,7,459,1064.0,61,307,368,1269,13133,14402,48912,168249,217161,6268,9140,15408,56449,190522,246971,1269,13133,14402,1.04,0,0,0,0.0,168249,217161,1.98,0,0,0,0.0,6268,9140,15408,0.78,0,0,0,0.0,2176576,1951369,1683893,1495618,18887,14479,30
Ramanagara,4,18,127,242,820,872,0,3,2,0,0,5,21,1,198,0,4,8,245,899.0,113,444,557,2092,16916,19008,61870,218283,280153,1782,3262,5044,65744,238461,304205,2092,16916,19008,1.37,0,0,0,0.0,218283,280153,2.55,0,0,0,0.0,1782,3262,5044,0.26,0,0,0,0.0,2161731,1929340,1655712,1461729,165955,125757,6
Chitradurga,6,22,189,311,948,1063,0,3,1,3,0,7,24,1,155,2,6,12,728,872.38,64,517,581,2780,39697,42477,65455,298057,363512,11804,14259,26063,80039,352013,432052,2780,38970,41750,3.01,0,727,727,0.53,291074,356529,3.25,0,6983,6983,0.99,11804,14259,26063,1.32,0,0,0,0.0,2202500,1934475,1580171,1360043,108558,76337,23
Davanagere,6,20,196,231,721,843,1,1,2,2,0,6,24,1,183,0,5,14,562,1382.31,177,504,681,6424,39085,45509,106024,228278,334302,17354,14589,31943,129802,281952,411754,6424,39077,45501,3.28,0,8,8,0.01,228048,334057,3.04,15,230,245,0.03,17354,14566,31920,1.62,0,23,23,0.05,2412112,2125634,1718083,1485025,120444,84145,21
Kolara,6,27,156,260,1608,1797,0,3,3,1,0,7,24,2,180,11,6,15,499,997.19,137,464,601,2672,27252,29924,77802,237065,314867,17379,8568,25947,97853,272885,370738,2672,27252,29924,2.16,0,0,0,0.0,237065,314867,2.87,0,0,0,0.0,17379,8568,25947,1.31,0,0,0,0.0,2401500,2119026,1810892,1575140,128439,95516,16
Chikkaballapura,6,26,157,247,1324,1513,0,4,1,1,0,6,28,2,193,12,6,14,352,479.03,84,456,540,1658,26932,28590,51312,229861,281173,5963,5447,11410,58933,262240,321173,1658,26932,28590,2.06,0,0,0,0.0,229861,281173,2.56,0,0,0,0.0,5963,5447,11410,0.58,0,0,0,0.0,1923122,1706352,1432711,1248095,126280,92631,17
Shivamogga,7,37,271,361,1444,1530,1,2,1,5,0,9,33,2,545,52,7,15,570,1414.7,151,421,572,4971,32941,37912,112402,242885,355287,42706,47028,89734,160079,322854,482933,4971,32941,37912,2.73,0,0,0,0.0,242885,355287,3.24,0,0,0,0.0,42706,47028,89734,4.55,0,0,0,0.0,3771369,3396957,2792695,2485581,180482,132123,5
Tumakuru,10,53,330,560,2582,2715,1,2,4,4,0,11,42,2,319,18,10,23,1449,2360.0,210,871,1081,2696,46721,49417,112888,499530,612418,25141,25542,50683,140725,571793,712518,2696,46721,49417,3.56,0,0,0,0.0,499530,612418,5.58,0,0,0,0.0,25141,25542,50683,2.57,0,0,0,0.0,5117387,4543092,3890030,3415104,157923,118745,8
Chikkamagaluru,8,34,226,237,1022,1117,0,1,3,5,0,9,30,1,172,6,7,12,374,571.01,79,447,526,1882,20707,22589,47184,197947,245131,19057,34595,53652,68123,253249,321372,1879,19156,21035,1.52,3,1551,1554,1.14,187714,234839,2.14,59,10233,10292,1.46,19043,32905,51948,2.63,14,1690,1704,3.93,3028116,2740266,2374426,2135634,224248,174848,4
