District,Geographical Area,Population Density,Rural Households,Urban Households,Total Households,% of Total Households,Projected Households (2020),Total Population (1),Male Population (1),Female Population (1),% of Total Population (1),Total Population (2),Male Population (2),Female Population (2),% of Total Population (2),Male Rural Population (2011),Female Rural Population 2011,Total Rural Population 2011,Male Urban Population 2011,Female Urban Population 2011,Total Urban Population 2011,Total Population 2011,Decadal Change Total % 2001–11,Decadal Change Rural % 2001–11,Decadal Change Urban % 2001–11,Sex Ratio Total 2001,Sex Ratio Rural 2001,Sex Ratio Urban 2001,Sex Ratio Total 2011,Sex Ratio Rural 2011,Sex Ratio Urban 2011,Decadal Change % 2001–2011,Child Population Total 0–6 Years 2011,Child Population Rural 0–6 Years 2011,Child Population Urban 0–6 Years 2011,Projected Child Population Total 0–6 Years 2021,Projected Child Population Rural 0–6 Years 2021,Projected Child Population Urban 0–6 Years 2021,Census Total 2011,Census Rural 2011,Census Urban 2011,Projected Total 2021,Projected Rural 2021,Projected Urban 2021,Child Sex Ratio Total 0–6 Years 2001,Child Sex Ratio Rural 0–6 Years 2001,Child Sex Ratio Urban 0–6 Years 2001,Child Sex Ratio Total 0–6 Years 2011,Child Sex Ratio Rural 0–6 Years 2011,Child Sex Ratio Urban 0–6 Years 2011,Decadal Change % 2001–2011,Male SC Rural 2011,Female SC Rural 2011,Total SC Rural 2011,Male SC Urban 2011,Female SC Urban 2011,Total SC Urban 2011,Total Scheduled Caste 2011,SC Decadal Change Total 2001–2011,SC Decadal Change Rural 2001–2011,SC Decadal Change Urban 2001–2011,SC % Total 2001,SC % Rural 2001,SC % Urban 2001,SC % Total 2011,SC % Rural 2011,SC % Urban 2011,Male ST Rural 2011,Female ST Rural 2011,Total ST Rural 2011,Male ST Urban 2011,Female ST Urban 2011,Total ST Urban 2011,Total Scheduled Tribe 2011,ST Decadal Change Total 2001–2011,ST Decadal Change Rural 2001–2011,ST Decadal Change Urban 2001–2011,ST % Total 2001,ST % Rural 2001,ST % Urban 2001,ST % Total 2011,ST % Rural 2011,ST % Urban 2011,Male Age Group 0–14 2011,Female Age Group 0–14 2011,Total Age Group 0–14 2011,Male Age Group 0–14 2021,Female Age Group 0–14 2021,Total Age Group 0–14 2021,Male Age Group 15–59 2011,Female Age Group 15–59 2011,Total Age Group 15–59 2011,Male Age Group 15–59 2021,Female Age Group 15–59 2021,Total Age Group 15–59 2021,Male Age Group 60+ 2011,Female Age Group 60+ 2011,Total Age Group 60+ 2011,Male Age Group 60+ 2021,Female Age Group 60+ 2021,Total Age Group 60+ 2021,Grand Total 2011,Grand Total 2021,Year 2011,Year 2012,Year 2013,Year 2014,Year 2015,Year 2016,Year 2017,Year 2018,Year 2019,Year 2020,Year 2021,Male Hindu,Female Hindu,Total Hindu,"Hindu Population Population %,Hindu",Male Muslim Population,Female Muslim Population,Total Muslim Population,"Muslim Population Population %,Muslim",Male Christian Population,Female Christian Population,Total Christian Population,"Christian Population Population %,Christian",Male Sikh Population,Female Sikh Population,Total Sikh Population,"Sikh Population Population %,Sikh",Male Buddhist Population,Female Buddhist Population,Total Buddhist Population,"Buddhist Population Population %,Buddhist",Male Jain Population,Female Jain Population,Total Jain Population,"Jain Population Population %,Jain",Male Other religions and persuasions includes Unclassified Sector,Female Other religions and persuasions includes Unclassified Sector,Total Other religions and persuasions includes Unclassified Sector,Male Religion not stated,Female Religion not stated,Total Religion not stated,Other Population Population %,Male Grand Total,Female Grand Total,Total Grand Total,Male Rural,Female Rural,Total Rural,Male Urban,Female Urban,Total Urban,Male Total,Female Total,Total,Main Workers Workers %,Marginal Workers Workers %,Non-Workers Population %,Agricultural Cultivators Workers %,Agricultural Labourers Workers %,Household Industry Workers Workers %,Other Workers Workers %,% ofWorkers to Population %,non agricultural workers Workers %
Bengaluru(U),2196,4381,213207,2180638,2393845,17.92,3411896,9621551.0,5022661,4598890,15.75,14271577,7446494,6825083,19.83,464256,407351,871607,4558405,4191539,8749944,9621551,47.18,12.16,51.91,908,913,907,916,877,920,0.88,1052837,100793,952044,1450842,100085,1350757,10.94,11.56,10.88,10.17,8.62,10.3,943,953,941,944,953,943,0.11,101739,98131,199870,505986,492529,998515,1198385,40.81,3.25,51.87,13.02,24.91,11.41,12.46,22.93,11.41,14940,13475,28415,84224,77600,161824,190239,121.16,57.21,138.18,1.32,2.33,1.18,1.98,3.26,1.85,1135333,1071590,2206923,1684031,1589481,3273513,3514649,3165286,6679935,5213251,4695047,9908299,372679,362014,734693,552792,536973,1089765,9621551,14271577,9621551,10005324,10405182,10821807,11255912.0,11708245.0,12179575,12670713,13182500,13715816.0,14271577.0,4051032,3674038,7725070,80.29,648328,599966,1248294,12.97,250360,254503,504863,5.25,7436,5818,13254,0.14,3007,2524,5531,0.06,42383,40707,83090,0.86,261,237,498,19854,21097,40951,0.43,5022661,4598890,9621551,269695,92684,362379,2624258,871705,3495963,2893953,964389,3858342,90.85,9.15,55.86,2.25,2.31,2.56,92.88,44.14,95.44
Bengaluru(R),2298,431,164814,64465,229279,1.72,266308,990923.0,509172,481751,1.62,1167401,607048,560353,1.62,371369,350810,722179,137803,130941,268744,990923,16.45,9.65,39.73,975,949,933,946,945,950,-2.97,107062,77405,29657,108175,72482,35693,10.8,10.72,11.04,9.27,9.15,9.5,939,944,925,950,947,956,1.17,91184,90317,181501,16240,15959,32199,213700,14.52,10.95,39.87,21.93,24.84,11.97,21.57,25.13,11.98,22809,21603,44412,4338,4153,8491,52903,21.14,14.79,70.5,5.13,5.87,2.59,5.34,6.15,3.16,123381,116424,239805,146871,135574,282445,335346,313682,649028,397955,367343,765298,50445,51645,102090,62222,57436,119658,990923,1167401,990923,1006750,1022949,1039532,1056512.0,1073899.0,1091707,1109948,1128635,1147781.0,1167401.0,457394,433035,890429,89.86,47681,44571,92252,9.31,2556,2812,5368,0.54,219,170,389,0.04,137,135,272,0.03,546,499,1045,0.11,51,34,85,588,495,1083,0.11,509172,481751,990923,206882,85652,292534,75534,21921,97455,282416,107573,389989,84.8,15.2,53.59,27.78,18.29,4.23,49.7,46.41,53.93
Ramanagara,3516,308,199673,60860,260533,1.95,273513,1082636.0,548008,534628,1.77,1147733,577014,570719,1.6,412438,402439,814877,135570,132189,267759,1082636,5.05,-0.07,24.5,964,969,945,976,976,975,1.24,107841,77329,30512,99799,65689,34110,9.96,9.49,11.4,8.7,8.07,10.23,945,947,938,962,961,964,1.8,83140,81648,164788,19472,19559,39031,203819,6.67,2.96,25.81,18.83,20.22,14.58,18.83,20.22,14.58,9693,9470,19163,1926,1857,3783,22946,28.3,22.5,68.73,2.12,2.35,1.41,2.12,2.35,1.41,128653,121393,250046,324503,308878,633380,354711,343748,698459,641302,638039,1279341,64644,69487,134131,498733,495750,994483,1082636,2907204,1082636,1088513,1094522,1100666,1106949.0,1113375.0,1119943,1126660,1133529,1140552.0,1147733.0,485046,474214,959260,88.6,58341,55970,114311,10.56,3200,3190,6390,0.59,226,157,383,0.04,46,58,104,0.01,461,398,859,0.08,22,35,57,666,606,1272,0.12,548008,534628,1082636,241705,122524,364229,70913,23699,94612,312618,146223,458841,86.34,13.66,50.91,39.16,19.28,3.33,38.22,49.09,41.56
Chitradurga,8436,197,283669,73334,357003,2.67,387454,1659456.0,840843,818613,2.72,1818420,912745,905675,2.53,675573,654350,1329923,165270,164263,329533,1659456,9.33,6.94,20.16,955,957,948,974,969,994,1.99,184280,149294,34986,170793,134166,36627,11.1,11.23,10.62,9.39,9.43,9.25,946,947,944,947,947,948,0.11,169160,164411,333571,27659,27887,55546,389117,15.64,13.33,31.78,22.17,23.67,15.37,23.45,25.08,16.86,135209,131317,266526,17730,18298,36028,302554,13.64,12.88,19.6,17.54,18.99,10.98,18.23,20.04,10.93,217200,205188,422388,238382,225199,463581,540011,527459,1067470,593029,579245,1172274,83632,85966,169598,90026,92539,182565,1659456,1818420,1659456,1674525,1689773,1705200,1720808.0,1736599.0,1752577,1768746,1785108,1801665.0,1818420.0,770751,749802,1520553,91.63,65034,63717,128751,7.76,1492,1683,3175,0.19,173,149,322,0.02,42,42,84,0.01,1957,1821,3778,0.23,72,56,128,1322,1343,2665,0.16,840843,818613,1659456,360218,199966,560184,83806,23489,107295,444024,223455,667479,77.92,22.08,48.38,33.42,34.36,3.06,29.16,51.62,32.22
Davanagere,4489,366,225874,125741,351615,2.63,372043,1643494.0,832111,811383,2.69,1794310,909078,885232,2.49,533193,519042,1052235,298918,292341,591259,1643494,8.63,5.49,15.84,952,957,939,972,970,977,2.1,178177,114332,63845,198212,128049,70163,10.84,10.87,10.8,11.05,11.43,10.4,946,950,934,948,946,952,0.21,124291,122137,246428,36115,35762,71877,318305,17.82,14.66,32.89,19.37,23.21,12.35,19.37,23.42,12.16,74786,73551,148337,17305,17162,34467,182804,11.16,9.09,21.9,11.12,13.97,5.92,11.12,14.1,5.83,256213,242975,499188,232762,223203,455965,642913,621092,1264005,591281,580920,1172201,77982,76042,154024,84966,81177,166144,1917217,1794310,1643494,1657822,1672312,1686964,1701784.0,1716771.0,1731928,1747255,1762765,1778447.0,1794310.0,702405,684402,1386807,84.38,120288,117459,237747,14.47,2612,2652,5264,0.32,160,117,277,0.02,67,75,142,0.01,2985,2884,5869,0.36,780,777,1557,2814,3017,5831,0.44,832111,811383,1643494,286124,117265,403389,139414,37048,176462,425538,154313,579851,80.36,19.64,56.09,25.7,31.9,3.37,39.03,43.91,42.4
Kolara,3979,386,227058,106290,333348,2.5,366066,1536401.0,776396,760005,2.51,1705436,860842,844594,2.37,535431,520897,1056328,240965,239108,480073,1536401,10.77,7.51,18.68,977,977,977,978,973,992,0.1,170423,116231,54192,157398,100699,56699,11.09,11.0,11.29,9.23,8.87,9.95,965,971,949,962,955,979,-0.31,164018,163406,327424,68528,69915,138443,465867,17.36,13.41,27.88,28.62,29.38,26.76,30.32,31.0,28.84,36448,35695,72143,3549,3183,6732,78875,15.77,12.51,67.75,4.91,6.53,0.99,5.13,6.83,1.4,203573,195444,399017,223775,219126,442901,497234,484011,981245,550174,538747,1088921,87718,85895,173613,87718,85895,173613,1553875,1705435,1536401,1552371,1568541,1584913,1601491.0,1618276.0,1635274,1652485,1669914,1687563.0,1705436.0,659513,645918,1305431,84.97,101867,98006,199873,13.01,12823,13899,26722,1.74,142,111,253,0.02,79,71,150,0.01,1296,1198,2494,0.16,44,48,92,632,754,1386,0.09,776396,760005,1536401,276268,155146,431414,117908,35268,153176,394176,190414,584590,81.43,18.57,53.28,25.5,28.03,3.37,43.1,46.72,46.47
Chikkaballapura,4244,296,220987,63711,284698,2.13,309857,1255104.0,636437,618667,2.05,1379908,696740,683168,1.92,494463,479522,973985,141974,139145,281119,1255104,9.23,4.96,27.19,966,970,950,972,970,980,0.62,132286,100028,32258,118423,82071,36352,10.54,10.27,11.47,8.58,8.03,10.17,952,953,949,953,957,941,0.11,137654,135237,272891,19974,19700,39674,312565,13.77,10.36,44.45,23.91,26.65,12.43,24.9,28.02,14.11,70304,68897,139201,8852,8434,17286,156487,13.74,10.52,48.66,11.97,13.57,5.26,12.47,14.29,6.15,162207,153437,315644,182286,164746,347032,408071,397318,805389,453490,431984,885474,66159,67912,134071,71948,75454,147402,1255104,1379908,1255104,1266675,1278436,1290391,1302546.0,1314904.0,1327470,1340249,1353244,1366463.0,1379908.0,557943,542188,1100131,87.65,74905,72905,147810,11.78,2307,2377,4684,0.37,135,129,264,0.02,48,37,85,0.01,501,474,975,0.08,42,35,77,556,522,1078,0.09,636437,618667,1255104,269952,171011,440963,71383,23219,94602,341335,194230,535565,83.71,16.29,49.03,33.17,32.35,3.17,31.31,50.97,34.48
Shivamogga,8478,207,259456,147360,406816,3.05,431308,1752753.0,877415,875338,2.87,1875987,939105,936882,2.61,565821,563205,1129026,311594,312133,623727,1752753,6.71,5.37,9.23,978,983,967,998,995,1002,2.04,182751,119703,63048,160835,101529,59306,10.43,10.6,10.11,8.57,8.5,8.7,956,957,954,960,958,966,0.42,112674,112642,225316,40872,41970,82842,308158,14.34,12.84,18.6,16.41,18.63,12.23,17.58,19.96,13.28,25045,24918,49963,7662,7787,15449,65412,16.81,14.62,24.54,3.41,4.07,2.17,3.73,4.43,2.48,219389,210379,429768,230269,229723,459992,580380,576455,1156835,619811,618343,1238154,77646,88504,166150,89027,88817,177844,1752753,1875990,1752753,1765077,1777398,1789723,1802048.0,1814371.0,1826693,1839017,1851341,1863664.0,1875987.0,739776,739648,1479424,84.41,118832,115832,234664,13.39,12709,13812,26521,1.51,212,188,400,0.02,53,67,120,0.01,4646,4588,9234,0.53,186,181,367,1001,1022,2023,0.13,877415,875338,1752753,317081,132865,449946,163915,38928,202843,480996,171793,652789,83.63,16.37,55.46,26.2,31.57,1.93,40.3,44.54,42.23
Tumakuru,10597,253,497521,142560,640081,4.79,663092,2678980.0,1350594,1328386,4.38,2790349,1393572,1396777,3.88,1048710,1031192,2079902,301884,297194,599078,2678980,3.65,0.12,18.11,967,975,938,984,983,984,1.76,265742,203685,62057,231339,167177,64162,9.92,9.79,10.36,8.29,8.03,9.06,949,950,946,959,959,959,1.05,215949,214008,429957,38586,38358,76944,506901,6.93,4.42,23.51,18.34,19.82,12.28,18.92,20.67,12.84,90558,89466,180024,14707,14828,29535,209559,8.12,5.94,23.63,7.5,8.18,4.71,7.82,8.66,4.93,322038,302189,624227,336006,315296,651302,872100,861818,1733918,909764,899037,1808801,156456,164379,320835,161045,169200,330245,2678980,2790348,2678980,2689299,2699790,2710461,2721305.0,2732338.0,2743555,2754962,2766560,2778356.0,2790349.0,1216905,1196907,2413812,90.1,123950,121973,245923,9.18,4392,4738,9130,0.34,274,203,477,0.02,110,77,187,0.01,2505,2562,5067,0.19,82,79,161,2376,1847,4223,0.16,1350594,1328386,2678980,584984,291534,876518,153140,48773,201913,738124,340307,1078431,79.61,20.39,49.43,37.35,26.01,4.02,32.62,50.57,36.65
Chikkamagaluru,7202,158,215621,60464,276085,2.07,275960,1137961.0,566622,571339,1.86,1136942,559384,577558,1.58,441825,445256,887081,124797,126083,250880,1137961,-0.26,-2.31,7.39,984,990,960,1008,1008,1011,2.44,105328,81183,24145,80573,59882,20691,9.26,9.15,9.62,7.09,6.81,8.03,959,960,952,969,971,963,1.04,107059,109936,216995,17957,18699,36656,253651,8.8,7.57,17.08,20.43,22.22,13.46,22.29,24.46,14.61,19411,20283,39694,2579,2697,5276,44970,9.63,7.87,26.82,3.6,4.06,1.77,3.95,4.47,2.1,131690,126974,258664,126141,130252,256393,376546,379782,756328,367293,379258,746551,58386,64583,122969,65950,68096,134046,1137961,1136990,1137961,1137771,1137599,1137447,1137316.0,1137202.0,1137111,1137038,1136986,1136953.0,1136942.0,499925,504628,1004553,88.28,50672,50563,101235,8.9,12871,13129,26000,2.28,91,91,182,0.02,67,42,109,0.01,2430,2280,4710,0.41,2,2,4,564,604,1168,0.1,566622,571339,1137961,259299,134905,394204,66956,19069,86025,326255,153974,480229,84.88,15.12,50.28,27.47,22.38,1.57,48.59,49.72,50.16
