StateCode,Population_Millions,GDP_Billion_USD,GovernanceModel,DigitalServicesAdoptionRate_Percentage,PrimaryOnlineService,E_GovernanceInvestment_Annual_USD,PublicServiceSatisfaction_Rating,NumCitizenComplaints_Annual,InfrastructureQuality_Rating,PublicSafetyIndex,EnvironmentalQuality_Rating,HealthcareAccess_Rating,EducationSystem_Rating,TransparencyIndex,BureaucracyEfficiency_Rating,CitizenParticipationInGovernance,DisasterPreparednessRating,RevenueCollectionEfficiency_Percentage,RuralDigitalDivide_Severity,DataDrivenPolicyMaking
ST001,35.0,800,Mixed,75,Tax Filing,50000000,4,15000,4,85,4,4,4,75,4,Medium,4,90,Medium,Yes
ST002,12.0,300,Decentralized,60,License Renewal,20000000,3,8000,3,70,3,3,3,60,3,Medium,3,80,High,No
ST003,80.0,2000,Centralized,85,Social Welfare Applications,100000000,5,20000,5,90,5,5,5,90,5,High,5,95,Low,Yes
ST004,5.0,150,Mixed,50,Property Records,10000000,2,12000,2,60,2,2,2,50,2,Low,2,70,High,No
ST005,25.0,600,Decentralized,70,Health Portal,40000000,4,10000,4,80,4,4,4,70,4,Medium,4,88,Medium,Yes
ST006,18.0,450,Mixed,65,Education Portal,30000000,3,9000,3,75,3,3,3,65,3,Medium,3,82,High,No
ST007,60.0,1500,Centralized,90,Tax Filing,80000000,5,18000,5,92,5,5,5,92,5,High,5,96,Low,Yes
ST008,10.0,250,Mixed,45,License Renewal,8000000,2,15000,2,55,2,2,2,45,2,Low,2,65,High,No
ST009,40.0,950,Decentralized,80,Social Welfare Applications,60000000,4,13000,4,88,4,4,4,80,4,Medium,4,92,Medium,Yes
ST010,7.0,200,Mixed,55,Property Records,12000000,3,11000,3,68,3,3,3,55,3,Medium,3,78,High,No
ST011,32.0,750,Centralized,78,Health Portal,48000000,4,14000,4,83,4,4,4,78,4,Medium,4,89,Medium,Yes
ST012,15.0,380,Mixed,62,Education Portal,25000000,3,9500,3,72,3,3,3,62,3,Medium,3,81,High,No
ST013,85.0,2200,Centralized,88,Tax Filing,110000000,5,22000,5,93,5,5,5,93,5,High,5,97,Low,Yes
ST014,6.0,180,Mixed,48,License Renewal,9000000,2,13000,2,58,2,2,2,48,2,Low,2,68,High,No
ST015,28.0,650,Decentralized,72,Social Welfare Applications,42000000,4,11000,4,82,4,4,4,72,4,Medium,4,89,Medium,Yes
ST016,20.0,500,Mixed,68,Property Records,35000000,3,10000,3,77,3,3,3,68,3,Medium,3,84,High,No
ST017,62.0,1600,Centralized,92,Health Portal,85000000,5,19000,5,94,5,5,5,94,5,High,5,98,Low,Yes
ST018,11.0,280,Mixed,47,Education Portal,9500000,2,16000,2,57,2,2,2,47,2,Low,2,67,High,No
ST019,42.0,1000,Decentralized,82,Tax Filing,65000000,4,14000,4,89,4,4,4,82,4,Medium,4,93,Medium,Yes
ST020,8.0,220,Mixed,58,License Renewal,13000000,3,12000,3,69,3,3,3,58,3,Medium,3,79,High,No
ST021,30.0,700,Mixed,73,Tax Filing,45000000,4,14500,4,84,4,4,4,74,4,Medium,4,88,Medium,Yes
ST022,13.5,320,Decentralized,58,License Renewal,18000000,3,8500,3,71,3,3,3,61,3,Medium,3,79,High,No
ST023,82.0,2100,Centralized,87,Social Welfare Applications,105000000,5,21000,5,91,5,5,5,91,5,High,5,96,Low,Yes
ST024,5.5,160,Mixed,47,Property Records,11000000,2,12500,2,62,2,2,2,52,2,Low,2,71,High,No
ST025,26.0,620,Decentralized,71,Health Portal,41000000,4,10500,4,81,4,4,4,71,4,Medium,4,87,Medium,Yes
ST026,19.0,470,Mixed,63,Education Portal,32000000,3,9200,3,76,3,3,3,66,3,Medium,3,83,High,No
ST027,61.0,1550,Centralized,89,Tax Filing,82000000,5,18500,5,93,5,5,5,93,5,High,5,97,Low,Yes
ST028,10.5,260,Mixed,44,License Renewal,8500000,2,15500,2,56,2,2,2,46,2,Low,2,66,High,No
ST029,41.0,970,Decentralized,79,Social Welfare Applications,62000000,4,13500,4,87,4,4,4,79,4,Medium,4,91,Medium,Yes
ST030,7.5,210,Mixed,53,Property Records,12500000,3,11500,3,69,3,3,3,56,3,Medium,3,77,High,No
ST031,33.0,780,Centralized,77,Health Portal,49000000,4,14800,4,85,4,4,4,77,4,Medium,4,90,Medium,Yes
