District,Total Census Houses,Vacant Houses %,Occupied Houses %,Occupied Census: Residence %,Occupied Census: Residence & Other Use %,Occupied Census: Shop/Office %,Occupied Census: School/College %,Total No. of households,Electricity %,Kerosene %,Solar Energy %,Any other %,No Lighting %,Drinking Water Source: Tap,Drinking Water Source: Well,Drinking Water Source: Handpump,Drinking Water Source: Tube Well,Tank/Pond/Lake,Rivers/Canals,Spring,Total No.of households,Fire Wood,Kerosene,Lpg Png,Bio-gas,No Cooking,Scheduled Castes,Scheduled Tribes,Minorities,Rural SC,Urban SC,Total SC,Rural ST,Urban ST,Total ST,Rural Total SC/ST,Urban Total SC/ST,Total Total SC/ST
Bengaluru(U),3267960,11.1,88.9,80.9,0.8,8.9,0.3,2393845,91.2,3.31,0.1,0.08,0.31,62.02,0.74,0.75,29.65,0.02,0.0,0.1,2393845,26.21,14.55,50.79,1.72,0.67,53,3,41,202,19,221,30,4,34,232,23,255
Bengaluru(R),326462,12.2,87.8,75.5,2.8,7.1,1.0,229279,95.33,4.17,0.08,0.15,0.23,66.84,0.48,0.76,28.01,0.03,0.0,0.0,229279,54.13,8.86,34.46,1.16,0.38,53,14,63,296,53,349,60,17,77,356,70,426
Ramanagara,351784,9.6,90.4,76.8,4.7,5.4,1.0,260533,91.98,7.35,0.17,0.16,0.33,80.98,0.71,1.61,16.0,0.02,0.02,0.08,260533,72.48,6.33,18.1,0.78,0.3,90,8,52,215,52,267,17,5,22,232,57,289
Chitradurga,447348,7.9,92.1,83.5,2.3,3.9,1.2,357003,86.78,11.72,0.54,0.04,0.73,65.56,1.49,6.63,25.1,0.3,0.13,0.08,357003,77.18,1.9,17.09,0.49,0.25,216,123,94,713,33,746,602,30,632,1315,63,1378
Davanagere,530691,8.3,91.74,74.07,2.2,4.41,0.84,351615,91.73,7.44,0.16,0.13,0.41,69.75,1.25,4.52,21.5,0.15,1.1,0.08,351615,61.53,1.78,28.26,1.27,0.34,206,70,101,454,39,493,296,23,319,750,62,812
Kolara,477609,11.7,88.3,76.4,1.9,6.8,1.3,333348,93.3,5.79,0.15,0.19,0.34,63.02,1.59,0.8,27.45,0.76,0.02,0.01,333348,68.45,6.98,21.87,0.64,0.27,155,32,144,473,17,490,82,2,84,555,19,574
Chikkaballapura,409702,10.4,89.6,74.6,2.1,6.1,1.2,284698,91.15,8.02,0.12,0.22,0.5,71.46,1.38,1.08,23.95,0.17,0.07,0.22,284698,73.92,4.58,18.05,1.33,0.28,143,48,79,469,56,525,295,29,324,764,85,849
Shivamogga,554106,7.7,92.3,76.7,1.5,5.5,1.1,406816,90.47,8.78,0.18,0.05,0.32,65.34,20.8,1.68,9.1,1.46,0.69,1.33,406816,59.41,4.08,31.86,2.04,0.27,179,31,168,227,39,266,51,5,56,278,44,322
Tumakuru,890242,10.0,90.0,76.3,3.0,4.9,1.2,640081,88.43,10.78,0.11,0.06,0.43,66.87,1.73,6.31,23.9,0.09,0.05,0.04,640081,75.59,3.36,18.36,0.64,0.26,234,55,191,896,96,992,453,16,469,1349,112,1461
Chikkamagaluru,392426,11.5,88.5,75.9,2.3,4.6,1.2,276085,79.93,10.29,0.37,0.28,0.42,61.79,8.93,3.55,11.57,2.1,3.0,2.08,276085,61.97,1.76,24.79,0.97,0.31,102,9,52,213,23,236,49,3,52,262,26,288
Dakshina Kannada,650292,9.7,90.3,64.6,7.7,8.5,1.0,439733,90.93,8.32,0.41,0.07,0.18,43.92,42.98,0.73,8.23,3.26,0.86,0.94,439733,55.33,1.53,41.54,0.76,0.22,79,28,310,81,17,98,41,13,54,122,30,152
Udupi,385389,8.9,91.1,68.8,1.0,7.6,0.9,253078,90.97,8.32,0.4,0.02,0.18,18.6,73.51,1.17,4.05,0.85,0.48,0.19,253078,64.8,0.45,32.7,0.92,0.48,34,10,55,21,5,26,27,4,31,48,9,57
Hassan,628981,10.5,89.5,70.1,6.0,4.7,1.3,433453,93.35,6.14,0.1,0.02,0.31,63.44,2.85,8.63,24.06,0.3,0.41,0.21,433453,71.57,3.73,21.13,1.57,0.2,280,21,111,640,36,676,56,2,58,696,38,734
Kodagu,212974,13.2,86.8,73.5,1.0,6.0,0.9,142716,82.36,15.91,0.81,0.13,0.61,48.11,33.41,2.45,9.76,2.07,2.4,1.9,142716,67.69,0.85,29.6,0.65,0.24,25,8,50,56,13,69,13,0,13,69,13,82
