CitizenID,Age,Gender,LocationType,HouseholdIncome_USD,EducationLevel,EmploymentStatus,ServiceCategoryAccessed_Primary,FrequencyOfInteraction_Last12Months,PrimaryInteractionChannel,ServiceSatisfactionRating,LikelihoodToRecommend_Service,ComplaintFiled_Last12Months,FeedbackProvided_Last12Months,HasDriversLicense,ReceivesSocialBenefits,RegisteredToVote,OwnsProperty,HasPassport,UsesOnlineGovernmentPortals,DigitalIDPossessed
G001,35,Female,Urban,75000,Bachelor's,Employed,Taxation,3,Online Portal,4,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
G002,48,Male,Suburban,90000,Master's,Employed,Licensing,2,Online Portal,5,5,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
G003,28,Female,Urban,60000,Bachelor's,Employed,Public Records,1,Online Portal,4,4,No,Yes,Yes,No,Yes,No,No,Yes,Yes
G004,65,Male,Rural,40000,High School,Retired,Social Security,4,In-Person Office,3,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
G005,30,Other,Urban,80000,Bachelor's,Employed,Employment,2,Online Portal,4,4,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes
G006,55,Female,Suburban,110000,Master's,Employed,Taxation,1,Online Portal,5,5,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
G007,24,Male,Urban,45000,High School,Student,Education,3,Phone Call,3,3,No,No,No,No,Yes,No,No,Yes,Yes
G008,72,Female,Rural,35000,High School,Retired,Healthcare,5,In-Person Office,2,2,Yes,Yes,No,Yes,Yes,No,No,No,No
G009,42,Male,Urban,95000,Master's,Employed,Licensing,1,Online Portal,5,5,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
G010,33,Female,Suburban,70000,Bachelor's,Employed,Public Records,2,Online Portal,4,4,No,Yes,Yes,No,Yes,No,No,Yes,Yes
G011,29,Male,Urban,55000,Bachelor's,Employed,Employment,1,Online Portal,4,4,No,No,Yes,No,Yes,No,Yes,Yes,Yes
G012,60,Female,Rural,85000,Master's,Employed,Taxation,2,Online Portal,4,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
G013,27,Other,Urban,62000,Bachelor's,Employed,Healthcare,3,Phone Call,3,3,No,Yes,Yes,No,Yes,No,No,Yes,Yes
G014,78,Male,Suburban,58000,PhD,Retired,Social Security,4,In-Person Office,3,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
G015,44,Female,Urban,120000,Master's,Employed,Taxation,1,Online Portal,5,5,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
G016,36,Male,Suburban,82000,Bachelor's,Employed,Licensing,2,Online Portal,4,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
G017,23,Female,Urban,40000,High School,Student,Education,3,Phone Call,2,2,Yes,No,No,No,Yes,No,No,No,Yes
G018,70,Male,Rural,50000,Bachelor's,Retired,Healthcare,5,In-Person Office,2,2,Yes,Yes,No,Yes,Yes,No,No,No,No
G019,31,Other,Urban,78000,Master's,Employed,Employment,1,Online Portal,4,4,No,No,Yes,No,Yes,No,Yes,Yes,Yes
G020,49,Female,Suburban,100000,Master's,Employed,Taxation,2,Online Portal,5,5,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
G021,26,Male,Urban,50000,Bachelor's,Employed,Public Records,1,Online Portal,4,4,No,Yes,Yes,No,Yes,No,No,Yes,Yes
G022,64,Female,Suburban,68000,High School,Retired,Social Security,4,In-Person Office,3,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
G023,34,Male,Urban,88000,Bachelor's,Employed,Licensing,2,Online Portal,5,5,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
G024,47,Female,Rural,92000,Master's,Employed,Taxation,1,Online Portal,4,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
G025,29,Other,Urban,60000,Bachelor's,Employed,Education,3,Phone Call,3,3,No,No,No,No,Yes,No,No,Yes,Yes
G026,75,Male,Suburban,72000,PhD,Retired,Healthcare,5,In-Person Office,2,2,Yes,Yes,No,Yes,Yes,No,No,No,No
G027,41,Female,Urban,115000,Master's,Employed,Employment,1,Online Portal,5,5,No,No,Yes,No,Yes,No,Yes,Yes,Yes
G028,32,Male,Suburban,78000,Bachelor's,Employed,Public Records,2,Online Portal,4,4,No,Yes,Yes,No,Yes,No,No,Yes,Yes
G029,25,Female,Urban,48000,High School,Student,Licensing,3,Phone Call,3,3,No,No,Yes,No,Yes,No,No,No,Yes
G030,58,Male,Rural,63000,Bachelor's,Homemaker,Social Security,4,In-Person Office,3,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
G031,37,Other,Urban,85000,Master's,Employed,Taxation,1,Online Portal,5,5,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
G032,46,Female,Suburban,98000,Master's,Employed,Licensing,2,Online Portal,4,4,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
